"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"asc_ruta1",1,0.795548037488377,0.602596855361289,0.543973297313796,0.0741381937840149,-0.13061998027522,-0.138076730627052,0.0987914305791175,-0.0578877302711512,0.0907400733090098,-0.107124322910118,-0.0911842260178706,0.016027704248882,0.039483328066441,-0.0320139761412938,0.0172084911209096,0.0369288468338811,-0.00948853511944315,-0.123876946091374,0.0429146995439171,-0.038382890526071,0.0244681327123978,0.0576125373739483,0.00284632605358542,0.0374848848409246,-0.00918429152955308,-0.0562622754929622,0.00029052415421378,-0.020077431461768,0.0486898761299715,0.0619004947623246,0.15745245697457,0.0613473725747036,0.0177833309201446,0.00679488685164532,-0.0108609878271065,0.058725786764715,-0.0293244319694917,-0.0665340412869301,-0.0595380022963536,0.0472466687081923,0.0596462779315324,0.0557013645511402,0.00252395214123209,-0.0502906929407067,-0.0523539637543227,-0.0417364478773051,-0.079429805571705,0.0365497580763573,-0.00252017127535621,-0.0144744584052848,-0.00410570918706897
"asc_ruta2",0.795548037488376,1,0.566150495224554,0.331166171625556,-0.0554650392219406,-0.0661006357393964,-0.0786481112977275,0.0146103846576299,0.0508379203543357,0.0861036540537284,-0.0323690715926705,-0.144901144195386,0.00677245350257604,0.16256110959772,-0.0150374982959109,0.0392410260296544,0.0749364990232941,-0.0170075084318752,-0.10364370376382,0.0545266554864327,-0.0325067820349328,-0.0097347089646984,0.0735724334710771,-0.0133254470911344,0.0308992853732571,0.0204844468748143,-0.0314791771526862,0.0222013469139215,-0.0207497842170771,0.047294590070657,0.0527852575772766,0.135496928513656,0.0424864705095035,-0.0256922928799691,-0.0726608895455261,-0.0520539772818253,0.114801289457508,0.0255424240027485,-0.0447033229046716,-0.0170075166633963,0.0623949436896168,0.051236231539138,0.0423091254929177,-0.0204749390624547,-0.0264227064382457,-0.0415736573340575,-0.0440642132487286,-0.0809329445205673,0.0441505133301996,0.00767129901760942,-0.001791126963609,0.0131854281222442
"asc_ruta4",0.60259685536129,0.566150495224555,1,0.0367059909215106,0.246958916268372,0.0844230337630844,0.43236472450634,-0.0188599843229894,-0.0486317439246691,0.256512270894845,0.094644034537347,-0.00014866418934311,0.126645002856892,0.0451721278907354,0.321666816850981,-0.0739870004476248,0.247545906090542,-0.00603372154330654,-0.120719931140277,0.0317869397988006,-0.197822522103188,-0.0322228279374672,-0.0212015876536444,0.041186050301501,0.0545617229307217,0.0295491754965268,0.0841601372714515,0.0735889434150804,0.0193721131595535,0.0858515684294072,0.132098238995506,0.1717774814142,0.101597194501194,0.0442515562497781,0.0281462940701329,0.0171385125092175,0.106731294408329,-0.106662128898804,-0.162918087426475,-0.18615837673522,0.099825174357443,0.0927489392674981,0.170117042317386,0.0958648719714579,0.0705513592454354,0.052017862329336,0.0448125451619221,0.000260760889455113,0.040258498173841,-0.011764400241765,-0.0536009198783017,-0.0506054536471252
"b_tt",0.543973297313796,0.331166171625557,0.0367059909215103,1,-0.254312280955941,-0.236696590315516,-0.332396383296282,-0.0678309093776539,-0.00970869598937195,0.0529430278420908,-0.193175738759777,-0.0666302770780191,-0.0539817351517482,-0.0616208687207263,-0.0172367383696789,0.0488860438801333,0.0238391262286641,-0.00518987251446367,-0.0233244737947607,0.0165059730004705,0.0145514121750108,-0.0112699839522684,0.0388136323869068,-0.0133699129876096,0.023836583397605,0.0562927136603001,-0.0345208294976096,-0.00174858050942365,0.00447433583857401,0.0675544479542992,0.00569592703688457,0.105476077361542,-0.0400787193336603,-0.104400443045945,-0.0490717791425313,-0.0741875244296692,0.0298348099621994,0.0469165040442873,0.0072503222176822,-0.0161282725849209,0.0336526697864938,0.00599506803337987,-0.0253101339708336,-0.0525516678695475,-0.0989730976891135,-0.065593310377235,-0.0248690319581422,-0.0704002974817247,0.0549072642759646,0.0134995813304588,0.000530863118034142,0.00882452690206537
"b_dt",0.0741381937840149,-0.0554650392219403,0.246958916268372,-0.254312280955941,1,-0.00965271218074945,-0.0587568472971731,0.265226642296804,-0.242906465634495,-0.0205177280657598,0.0458543540484684,0.120720361493966,-0.0478479136592143,-0.149005604072243,0.0072586779514744,-0.0602108273102702,0.0100402629414183,0.0110400875886142,0.00477166512421053,-0.0493688571179631,-0.0752249567186908,0.00433152976626999,0.0132863308781374,-0.0140424168743966,0.00627977330205999,-0.00790660628161573,0.110964930888433,0.070298019957039,0.0162366573716301,0.00815975924049703,0.0815591415732351,0.0503973040466201,0.0175127480965931,0.115731941031789,0.119570417935471,0.078658609998929,-0.0491397546542776,-0.131021647596983,-0.0930262726231843,-0.0802241239202088,-0.105935013854427,-0.00174788680106549,-0.00698527315790133,0.0275531633559779,0.0288983384973161,-0.0405772143225682,-0.036322709909572,-0.0518671896653725,0.0121768171584037,0.0244073239452435,0.0109145291102697,0.0308160115956388
"b_CongCD",-0.130619980275221,-0.0661006357393968,0.0844230337630841,-0.236696590315516,-0.00965271218074943,1,0.508749029775395,-0.0392996011273734,0.0534432861272859,0.0822336114284924,-0.0205258513164194,-0.0219570536463834,0.120062139876953,-0.138083158814923,-0.107116783685616,0.00792248884153375,-0.0891685885575984,0.0428829203483652,-0.0427106923262418,0.0355458773709957,-0.0253185860152241,-0.12499731733102,-0.00503526788991852,0.0246960279735733,0.0188823415020472,-0.0422311671738579,-0.0232398132525076,-0.0341927701213094,-0.0281598780562347,0.00296610204800308,0.0955686647650812,0.0324239117206993,0.0139757353644889,-0.029770957818274,-0.0674859486468567,-0.061068707489545,-0.0197030469507771,0.015009896206249,0.00218941851814883,0.00848457438045689,-0.0665807585645898,-0.0981277910415282,-0.0445679587709238,-0.0781104644148016,-0.0372356307503305,-0.0255795260855672,0.00633468092872714,-0.0115343732864285,-0.0422872629145442,-0.0543349056445836,-0.011325961277523,-0.0343688937516023
"b_CongEF",-0.138076730627052,-0.0786481112977274,0.43236472450634,-0.332396383296282,-0.0587568472971729,0.508749029775396,1,-0.10666885115361,0.072749775297772,0.230911822398912,-0.0174470761498761,-0.00501477165254616,0.0852589082626177,0.0362772351164336,-0.0712433298909796,0.0204417589356998,-0.0716122624546894,0.0311177300964273,-0.0364573052481964,-0.0799124899429232,-0.0145627532075209,-0.163377578990835,-0.00552346959201126,-0.0125802467428993,0.0205882700975554,-0.0378341543588517,-0.0851044172812809,-0.0551105760041989,-0.0149467299480255,0.00981900520229446,0.0212382819110404,0.0142007184285511,0.113350626294691,0.0718592868072056,0.0467309949022532,0.0749378972372901,-0.0962163890542302,-0.0698717351522113,-0.0233827488978761,-0.0326542895864404,-0.0299787719922492,-0.094146633955246,-0.0268339891045772,-0.0747330396086808,-0.0341333135106858,-0.0386117004551558,-0.034846901605404,-0.0406274996366914,-0.0290419310078713,-0.0204404070375617,-0.0105586287944603,-0.0226926765142982
"b_Sem",0.0987914305791174,0.0146103846576299,-0.0188599843229896,-0.0678309093776538,0.265226642296804,-0.0392996011273734,-0.106668851153611,1,-0.115247456456986,-0.0837530363194476,-0.00473830061661221,-0.102059092636125,-0.0407896655902719,-0.0518984095960161,0.00769065127030886,-0.146235524714687,-0.0997172980927408,-0.0821141011581873,0.0682072444238807,-0.0738469401186947,0.125524108566102,-0.118951098753967,-0.0461560472832047,0.0197420284992358,-0.107572321984245,-0.056163172651374,0.0128505924465309,0.0274885997152692,-0.0469991504321981,-0.112025176107167,-0.0814062276585748,-0.0786359813214996,0.0900633191512146,0.154833194103715,0.156270945469552,0.112559994341678,-0.191706899777942,0.0100180615264781,0.0711915133534043,0.0969689295903514,-0.22198452637921,-0.127558434203967,-0.137110860176825,-0.149932947053914,0.00078385664051933,-0.0462150886930966,-0.0321492884804592,0.00335640661379229,-0.0279560930136486,-0.0374458986684643,-0.0390382665152193,-0.039153921362073
"b_ACC_1",-0.0578877302711511,0.0508379203543357,-0.048631743924669,-0.00970869598937193,-0.242906465634495,0.0534432861272859,0.0727497752977721,-0.115247456456987,1,0.109797552202145,-0.131818095896723,-0.10160171448958,-0.0607812327712085,0.0983990201947443,0.0414328304244999,0.091627957049661,0.0912290548463224,-0.0167885776183515,-0.0350556124489077,0.121249220241485,-0.0256098811579255,0.00435010678677277,-0.0371062623608035,-0.02283696208628,0.0109118730701404,0.0151432867405875,0.0521257381978109,0.0139963277881808,-0.00660649691841313,0.0543282153918864,0.0584772897655438,0.0102227693046368,-0.0116943214577019,-0.0287702512168826,-0.0979294849134961,-0.116739683781257,0.00177741309463854,0.0182400208477302,0.00631068902397089,0.0325372295342225,0.0825464359302247,0.0118398652945625,0.0103765566325272,-0.0132101495791498,0.0304724689659027,0.0608016367197668,0.0809164048333661,0.0535702757260619,0.03075754360107,0.0764406127667804,0.0361014304435881,0.0221073451734552
"b_ACC_2",0.0907400733090097,0.0861036540537284,0.256512270894845,0.052943027842091,-0.0205177280657598,0.0822336114284924,0.230911822398912,-0.0837530363194476,0.109797552202146,1,-0.0371376621517699,-0.0526691271158192,0.0327204074944366,-0.041164140276751,0.0816560069187459,0.0537919151570654,0.117330045590402,0.0137212192584001,-0.0477366053474707,0.083617079950978,-0.329862164667771,0.0602290740081557,0.0414161228291441,-0.0513384140106328,0.00766089107191011,-0.0294873376119267,0.0355958997198523,0.0340864805611769,-0.0405643825859705,-0.0124925156804697,0.0878706465259442,0.0788527007344497,0.201634218962909,0.0650758357023434,-0.024163339240478,-0.0357701127753708,0.0739370240011359,-0.376087630128155,-0.43417941054078,-0.49826722690389,0.0987969322546518,0.0777610088008135,0.0768703559515015,0.0561645317819293,0.0601848984875674,0.0170992210716918,-0.000380924783890703,-0.0260278798417915,0.113518658623281,0.0857271990907754,0.0661046622957477,0.064248079143176
