"asc_ruta2","asc_ruta3","asc_rutaEC","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_NO_ZER","b_Si_MTRP","b_CSECO","b_Hpico","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_EdBasica","b_Htrab_1","b_Htrab_2","b_Htrab_3","b_Exp_1","b_Exp_2","b_Exp_3","b_Exp_5","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-390.935009835809
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-390.935009835809
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-390.935009835809
-0.0120000000060827,-0.0167999999939639,0.0247999999919557,0.112401923997822,-0.00713946406904143,0.0134400000024471,-0.00767999999879976,0.00143999999636435,0.0010400000064692,0.00464000000647502,0,-0.00536000001375214,-0.0187200000073062,0.00559999998586136,0.00159999999596039,0.0206400000024587,0.0153599999975995,0.00064000001657405,0.00672000000122353,0.0123200000052748,0.0198399999862886,0.00720000000001164,0.0148000000081083,-8.00000088929665e-05,0.00175999999555643,0.0135199999931501,0.00375999999960186,0.00487999999677413,0.0018399999862595,0.00999999998384738,-371.61432838783
-0.073012058320133,-0.118466127758177,0.142479127323922,0.0970099749811674,-0.120858322034357,0.0864392456524824,-0.0422265662732423,0.011128526553192,0.00218926669146934,0.0238975134411574,-0.00424860605063594,-0.0360644667939704,-0.106488797425286,0.0385555030888554,0.0116916880559359,0.118781906221776,0.0919949911579789,0.00341024121628609,0.0409270354101906,0.068553953162587,0.112263327135802,0.0435759685202529,0.0858536594851798,-0.000610819266165895,0.0115648146196238,0.0817773667151056,0.0223603114554643,0.0309128363783885,0.0111712401016666,0.0522348284253375,-335.44531964001
-0.513050656381463,-1.09213729635433,0.0831194784534562,0.0742445393910835,0.109504270440107,0.0567774699353382,-0.277577732876802,0.213071221456676,-0.14878522312587,0.423319928145986,-0.0951043844322997,-0.378227327709438,-0.423000235477636,-0.0279145100464307,0.169443122212804,0.0364693372339705,-0.0362947483558566,-0.12049632123369,0.0731344044586578,-0.115670673079794,0.0278619309845723,-0.123767893888167,0.038200525629662,-0.0206177886127413,0.0799007912250802,0.0672769080624342,0.0592502593164334,0.222835586462667,-0.0193620486304156,-0.25731575443124,-316.990252263407
-0.708020848532587,-1.38049870150913,0.0720929727065319,0.0900052336615031,0.0240116706978144,0.0209746155565052,-0.350827565808608,0.235210587070409,-0.172886442206013,0.53319736823994,-0.0975136657253218,-0.491682152498971,-0.283545668961658,-0.167194729081058,0.24243026480456,0.0110174479234981,-0.0723463152465234,-0.183542807194147,0.0758896484415617,-0.163041893913866,0.00548212648507943,-0.180545873167558,0.037916057119777,-0.0291278224729355,0.109761390074489,0.0687799738764551,0.0724863695399375,0.294449663366014,-0.0294021714917251,-0.359780947156324,-308.323615093671
-0.922585035820413,-1.38890244360081,0.0350315477271609,0.105557004464042,-0.13206853493133,-0.114592465427225,-0.387857428164398,0.0819345953997145,-0.116582427256604,0.570130115437715,0.0297073747809702,-0.605554138061172,-0.413188301641581,-0.190832657876432,0.341484860640383,-0.0524739000669257,-0.0799317846037979,-0.380203199973871,-0.0139947281554409,-0.151395534651311,-0.0513508716257356,-0.322609999724661,0.0579053473686615,-0.0500165056513376,0.160686600731682,0.0779509059127556,0.0514858451981382,0.373330053280878,-0.0747413122006081,-0.40607931711319,-306.112198172317
-1.08901807636883,-1.36245695362917,0.100770921950318,0.0722893256394313,0.0224645709732846,-0.223216452448228,-0.469481572499799,-0.139341282135425,-0.111028989647814,0.653144368636785,0.252947168471102,-0.731449538181352,-0.437679417949076,-0.341622315629326,0.483559002099646,-0.0335044980486186,0.0133335019962298,-0.72328404262504,-0.128824498919228,-0.0768792526645158,-0.0331723268302524,-0.487371586296565,0.163791636593437,-0.0877254606089411,0.273729296876596,0.178671332815549,0.032028034918988,0.528032058069478,-0.143801065419913,-0.401013811762406,-303.019873224528
-0.38855582761099,-1.4596240862492,0.328434578036747,0.0742602340618373,-0.266667494327321,-0.631522834573209,-0.673195286856266,-0.631690756911143,-0.996865299394762,1.39418473509956,1.16038929138438,-0.863305601215921,-0.724758121117103,-1.00889628194389,0.748771125304462,-0.0824346404189076,0.259625291150277,-2.4824872708452,-0.460006437902221,-0.206835436233034,0.0318759432406095,-0.742478773896069,0.520374699995175,-0.287346912086717,0.900013660306024,0.420076280664807,0.0203676998330693,1.35891163651139,-0.478390579076359,-0.46807585220846,-302.568636872592
