"asc_ruta1","asc_ruta2","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,-386.776126752449
0,0,0,0,0,0,0,0,0,0,0,0,0,-386.776126752449
0,0,0,0,0,0,0,0,0,0,0,0,0,-386.776126752449
0.217999999676977,-0.254000000040833,0.385092052511027,0.197427062630595,0.0979999999799475,-0.246000000061031,0.275517957106786,-0.00600000021222513,-0.117999999929452,-0.142000000323606,-0.205999999707274,-0.0679999998283165,0.00199999976757681,-339.538281007354
1.33266017560891,0.0164677452935937,0.907585416604001,0.591512141780825,-0.0936295377669562,0.1786254940728,0.0600374132788162,-0.128732315727936,-0.511700986531301,-0.545280050344598,-0.432135225119082,-0.194325968012887,-0.110015986603385,-331.911040825791
1.49362786982014,0.941903120288009,1.70867218737566,1.16748508923774,-0.309435871319348,0.302175797821079,0.0793747572389846,-0.319786369664682,-0.910409620381347,-1.01172045469943,-0.427361309115685,-0.1884873881078,-0.169709487681432,-317.061612633564
1.65580265261667,1.03388395175248,1.74420141479526,1.26565137421359,-0.370332646698155,0.166601026283656,0.184025571126654,-0.396192215670432,-1.01695149841925,-1.01688290668664,-0.131706141621551,-0.0769882360596066,-0.115086682593307,-313.345406704151
1.69499509527778,1.04946612332758,1.69504775213036,1.32259017706793,-0.412393955708918,-0.0499560673363392,0.0906333368530498,-0.468752046924276,-1.13602768406454,-0.988974149975561,-0.138720571646467,-0.0261876637778562,-0.101140941475443,-310.690243219345
1.7331738257328,1.09417436374006,1.45534926176167,1.3602015319737,-0.600639358861802,-0.303678429828872,0.261278346536475,-0.565426182402618,-1.45110098044375,-0.909382940233437,-0.300832776532802,-0.0117684184011269,-0.0953341235865197,-305.452250279928
1.26771703082632,0.350183570600061,1.37384912778396,1.57720220682008,-0.786582137142004,-0.316390291180926,0.326299503511715,-0.286974168574868,-2.57492096366028,-0.805347505289898,-0.0962718247215425,-0.485102164204843,-0.022384192354004,-299.601066715607
1.12637269876456,0.14639758354694,1.20983176268533,1.3071655662424,0.436202661768926,-0.163887412487048,0.512275921391538,-0.205503712698665,-3.26529995177612,-1.24102094144405,-0.176862743425383,-0.0915921071692655,0.0464369869871228,-299.406314450009
1.22717580913678,0.198783152343846,1.46233711631238,1.2731920664919,0.321030755650537,-0.135796933248044,0.539917346447861,-0.313968146962627,-3.05659511994826,-0.95616831164959,-0.280748968817375,0.134281486808771,-0.0901513578242226,-296.828700595546
1.54253845325501,0.526736147056342,1.6159011209088,1.15338000762039,-0.0509595706049175,-0.449632461847004,0.564938231369135,-0.511020652652085,-2.49375653361259,-1.01135440747724,-0.289283210868687,-0.229972624544886,-0.273624095211114,-293.101151890213
1.64565812580461,0.58355816893772,1.52723172398374,1.40202735016398,-0.486603660478639,-0.530626134131472,0.539522727345289,-0.343224815227577,-2.24790487595116,-1.29206088849315,-0.399483989450965,-0.0501566469158553,0.0127683118793569,-293.081472420402
1.68450560783139,0.66199243758438,1.43356992824838,1.65063924010494,-0.408094839207882,-0.511960309867841,0.548593252146464,-0.323931129477291,-2.30905167814542,-1.12995035547038,-0.420596941426376,-0.122033319600004,0.0967329233975533,-292.513905223681
1.64096839021249,0.614364769330546,1.38357873200353,1.71876395942769,-0.373410393714304,-0.464379342364987,0.558393802095709,-0.471704135709789,-2.47636369849072,-1.10937390305895,-0.384838813964054,-0.113284521157586,-0.0606527348350534,-292.071681490025
1.64289625016756,0.636627898669864,1.4338485779585,1.59611212626431,-0.341113439615553,-0.48330209501295,0.555191973370368,-0.405237186921611,-2.65478221316676,-1.05258065427889,-0.361856021029805,-0.110224489466371,-0.154054108655503,-291.823945365694
1.63418234058062,0.633769885048616,1.51345556718936,1.45445471182103,-0.316434315397367,-0.460759280210185,0.55068159412018,-0.489540636565767,-2.78110088024778,-1.00738097964207,-0.362639685506262,-0.141566854391388,-0.0716628677551094,-291.725971169137
1.64527058053724,0.626779747928567,1.51735423404396,1.50524411817176,-0.28125816732269,-0.45019484759917,0.562577677027823,-0.481836800308326,-2.82207602516654,-1.02625779579569,-0.366134873818012,-0.151923155996735,-0.157248201633785,-291.671825468722
1.65304459440572,0.631795720460982,1.51442355120413,1.51903053258164,-0.291506926507514,-0.453759304907653,0.562386752419674,-0.480890249682607,-2.92988939661449,-1.03274979212578,-0.368986017074437,-0.150127494915188,-0.160719446876439,-291.656258373665
1.66172894682101,0.634496398025295,1.52152001040116,1.52587542576734,-0.295759493955284,-0.452659504668222,0.563246932446403,-0.48314427828129,-3.01420976515542,-1.03997080613085,-0.375011549588141,-0.154768542181913,-0.151599532785269,-291.650630310992
1.66214275214503,0.634406985954384,1.52240255354487,1.52526564238936,-0.295866063969318,-0.452363005204052,0.563298410627771,-0.484010718936317,-3.02108625540873,-1.0401459679896,-0.375546377771578,-0.155441089871222,-0.150033466121973,-291.650583031548
1.66211966209905,0.634353479917786,1.52241238541938,1.52519588792566,-0.295840674617153,-0.452336257644082,0.563299437805252,-0.484024519256167,-3.02121700170127,-1.0401234712679,-0.375561961114326,-0.155479782191794,-0.149957961589626,-291.650582935903
