"","asc_Op2","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_PANEL1","b_ZER1"
"asc_Op2",0.0306067948393111,-0.000515197304520539,-0.00209439949813583,0.00966577320025282,0.000607501761032735,-0.00118006692915819,0.000667464303965182,-0.0168465627827067,-0.00563418378092732,-0.00126348084795615,-0.00314513738724781
"b_tt",-0.000515197304520539,0.000496550822293897,-0.000644613618918454,-0.000557017584974956,-0.000314724362896489,-0.000569648314385026,-0.000477883108099567,0.00113225494511255,-4.09173509436128e-06,-1.47885861875096e-05,-0.000258258886758041
"b_dt",-0.00209439949813583,-0.000644613618918454,0.0184954667605102,0.00314401868386532,-0.00119253462663167,0.00887659052605741,-0.0020593041627172,-0.00192784540813927,-0.00490090959117347,0.000650423010109518,-0.00234700221609543
"b_CongAB",0.00966577320025282,-0.000557017584974956,0.00314401868386532,0.044735347122486,0.0236362380708548,-0.00366239147466314,0.000725949272046989,-0.000152437217200845,0.00341547263040623,-0.00391511388048952,-0.00322916126481002
"b_CongCD",0.000607501761032735,-0.000314724362896489,-0.00119253462663167,0.0236362380708548,0.0475874190954704,-7.24951630932594e-05,0.00419368276937068,-0.00544304427858044,0.00376903126946719,-0.00718708067828947,-0.00289425573794919
"b_Sem",-0.00118006692915819,-0.000569648314385026,0.00887659052605741,-0.00366239147466314,-7.24951630932594e-05,0.0289103334112904,-0.0047107328291189,-0.00385989375927189,-0.00132133684345258,-0.00114691763145893,0.000401208067857174
"b_ACC_1",0.000667464303965182,-0.000477883108099567,-0.0020593041627172,0.000725949272046989,0.00419368276937068,-0.0047107328291189,0.0904155385575827,0.00848195748543534,-0.00505405265526815,-0.00249277489164711,-0.0012816092018737
"b_ACC_2",-0.0168465627827067,0.00113225494511255,-0.00192784540813927,-0.000152437217200845,-0.00544304427858044,-0.00385989375927189,0.00848195748543534,0.423849705630155,0.00319804650476806,-0.0212170505413965,-0.00249755414413876
"b_SI_CAMFD",-0.00563418378092732,-4.09173509436128e-06,-0.00490090959117347,0.00341547263040623,0.00376903126946719,-0.00132133684345258,-0.00505405265526815,0.00319804650476806,0.080808329831491,-0.00467033966538459,0.00733391130227373
"b_PANEL1",-0.00126348084795615,-1.47885861875096e-05,0.000650423010109518,-0.00391511388048952,-0.00718708067828947,-0.00114691763145893,-0.00249277489164711,-0.0212170505413965,-0.00467033966538459,0.371826190930395,0.0119132876657132
"b_ZER1",-0.00314513738724781,-0.000258258886758041,-0.00234700221609543,-0.00322916126481002,-0.00289425573794919,0.000401208067857174,-0.0012816092018737,-0.00249755414413876,0.00733391130227373,0.0119132876657132,0.0600902160703469
