"","asc_Op2","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_PANEL1","b_ZER1"
"asc_Op2",1,-0.132154757840736,-0.0880274154840389,0.261217499909426,0.0159181480367055,-0.0396708187045537,0.0126881288871724,-0.147909624889117,-0.113290636686826,-0.0118437640864673,-0.0733379577938101
"b_tt",-0.132154757840736,1,-0.212708564202751,-0.118184806235262,-0.0647444334078768,-0.150348262585271,-0.0713211422711858,0.0780470388793452,-0.000645948049129002,-0.00108836562165803,-0.0472793545621886
"b_dt",-0.0880274154840389,-0.212708564202751,1,0.109301737202116,-0.0401968734415064,0.383872488828476,-0.050357749449353,-0.0217737691681694,-0.126769850365412,0.007843199469862,-0.0704010228356472
"b_CongAB",0.261217499909426,-0.118184806235262,0.109301737202116,1,0.512279378706581,-0.101838691013075,0.0114145641068731,-0.00110703069592842,0.0568064092601451,-0.0303563117654935,-0.0622819850126592
"b_CongCD",0.0159181480367055,-0.0647444334078768,-0.0401968734415064,0.512279378706581,1,-0.00195450328803706,0.0639334238122164,-0.0383256781875377,0.0607792867719502,-0.0540301851146594,-0.0541238827331525
"b_Sem",-0.0396708187045537,-0.150348262585271,0.383872488828476,-0.101838691013075,-0.00195450328803706,1,-0.0921383407058685,-0.034869270222851,-0.0273375083880369,-0.0110620518618067,0.00962589731917365
"b_ACC_1",0.0126881288871724,-0.0713211422711858,-0.050357749449353,0.0114145641068731,0.0639334238122164,-0.0921383407058685,1,0.0433279969008018,-0.0591275875947524,-0.0135953857952153,-0.0173873019975877
"b_ACC_2",-0.147909624889117,0.0780470388793452,-0.0217737691681694,-0.00110703069592842,-0.0383256781875377,-0.034869270222851,0.0433279969008018,1,0.017280279651022,-0.053445245849131,-0.0156497385424438
"b_SI_CAMFD",-0.113290636686826,-0.000645948049129002,-0.126769850365412,0.0568064092601451,0.0607792867719502,-0.0273375083880369,-0.0591275875947524,0.017280279651022,1,-0.0269432768098009,0.105246025708513
"b_PANEL1",-0.0118437640864673,-0.00108836562165803,0.007843199469862,-0.0303563117654935,-0.0540301851146594,-0.0110620518618067,-0.0135953857952153,-0.053445245849131,-0.0269432768098009,1,0.0797002634615034
"b_ZER1",-0.0733379577938101,-0.0472793545621886,-0.0704010228356472,-0.0622819850126592,-0.0541238827331525,0.00962589731917365,-0.0173873019975877,-0.0156497385424438,0.105246025708513,0.0797002634615034,1
