"asc_ruta1","asc_ruta2","asc_ruta4","b_tg","b_tl","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-386.776126752449
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-386.776126752449
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-386.776126752449
0.217999999676977,-0.254000000040833,0.481999999919935,0.00638321898804861,-0.0437132853221556,-0.33148228931168,0.0979999999799475,-0.246000000061031,0.275517957106786,-0.00600000021222513,-0.117999999929452,-0.142000000323606,-0.205999999707274,-0.0679999998283165,0.00199999976757681,-337.221690468197
0.501058503664897,-0.257038511278269,0.511422401467744,-0.00131328805941671,-0.0688341372098722,-0.390752539348563,0.0820101589142402,-0.127947762535763,0.273389569292047,-0.0213937354695565,-0.207232121753613,-0.218610565269357,-0.281793053223313,-0.0929598225955549,-0.0111000010388039,-327.305548235192
0.699857107662379,0.243908697495819,0.965166031548561,-0.0364002795994491,-0.222337531856259,-0.308558821845077,0.0584447202030985,0.0574091499453644,0.199056793420752,-0.111904892578006,-0.50949445628597,-0.494783226714967,-0.355315459739862,-0.0128747352000157,0.0237313463346296,-317.140509138981
0.939189374280172,0.387145064799485,1.22034583226112,-0.0834356055984427,-0.385458933151283,-0.161477145038585,0.056540972790617,0.132236534102995,0.345793467296308,-0.153632249864012,-0.673782871163069,-0.458288798502439,-0.0784440392486912,0.140340376780888,0.148080323813485,-313.324517348162
1.05222472477421,0.384068168952725,1.35098819851563,-0.129221806779972,-0.532187606040158,-0.0866800415266552,0.0797269585948099,0.101487783433256,0.221707717754741,-0.186025787207961,-0.750552105522449,-0.344868408126343,-0.0624529024677944,0.157503840578134,0.191424719568712,-312.022498769603
1.35602982855348,0.73510694687649,1.58859828145133,-0.503251046405858,-1.63621775798521,-0.118591582529905,0.0129525407591629,0.215978716330659,0.422380595130674,-0.379931511010524,-1.18327488530733,0.308887643069611,-0.451946293012838,0.0452333198148223,0.325549658181606,-309.211167695484
1.70144829938712,0.943941962207466,1.59714977322388,-1.14802222945108,-3.499962561341,-0.605909059041023,0.00295774570183739,0.184430639969234,0.331509874027451,-0.46565638443567,-1.68265341375507,-0.0982851000577837,-0.373413205980168,0.131570877003816,0.41547860981441,-299.117248998871
