"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","sigma_FRbr","sigma_EnfCond","sigma_AFrSem","sigma_CulFr"
"asc_ruta2",1,0.232558649643106,0.0401779492832661,-0.144686250661274,0.0325358015764951,0.0278435486864087,0.0779239760003769,0.0105492067086569,-0.00455371902188209,0.0154794624908106,0.00440930778084049,0.00425667597542262,-0.00564529260767609,-0.00297861561491719,-0.00250200530395415,0.0216563991653327,-0.025363262550639,-0.00366788073557366,9.30269484036105e-06,-7.54041864596204e-05,-3.50395454478607e-05,6.04632440599294e-05,-3.4150817914233e-05,-3.16922227048274e-05,-3.53733117609372e-05,-3.74812078891083e-05,-9.18558681022567e-06,1.68836759302995e-06,-6.67811692063817e-06,1.87464785524683e-05
"asc_ruta3",0.232558649643106,1,0.0239333079887162,-0.215619175008966,0.0942822052083952,0.029544644830783,0.0770425428346921,0.00283962985681225,-0.00374095756593246,0.0274500200796777,0.00247796946418016,0.00366978665076702,-0.00335601538488682,-0.00518810515749686,-0.00438990545071534,0.0242319573932639,-0.0266042445378561,-0.00208050345838553,6.67123727300043e-06,-4.45814000715462e-05,-2.51475184448017e-05,3.69873466586428e-05,-1.90880090780215e-05,-1.30399784171387e-05,-1.56162064119252e-05,-1.95938322401398e-05,2.05001240831631e-06,-3.952894717155e-06,-8.18652549547067e-06,1.08798860792629e-05
"asc_rutaEC",0.0401779492832661,0.0239333079887162,1,0.0894301973376877,-0.0476877555824291,-0.393415547421336,-0.0831142587231812,0.0045045368802195,-0.211579261093331,-0.714333553070203,-0.0353005760313282,-0.158717880241457,-0.307518190427257,-0.285553047181037,-0.269129759344197,-0.302902252849374,-0.0793595874163689,-0.106071811302357,0.000261645222023994,-0.00197954662331205,-0.00100408378411836,0.00159019284581834,-0.000965849247006786,-0.000983060543762865,-0.00109661810945215,-0.001160683498968,-0.000452136305514466,0.000105250818734563,-0.000112583236239849,0.000608442708737208
"b_time",-0.144686250661274,-0.215619175008966,0.0894301973376877,1,-0.485467664765276,-0.100187028836088,-0.380980321850346,-0.0377491040207607,-0.00660944999129398,-0.129956665597467,-0.00955881598111733,-0.0169629290155208,-0.0284949904135272,-0.00090359630693658,-0.0200921898566596,-0.0978168618440703,0.132467094217876,0.00610859439724341,-1.67361694227758e-05,0.000130827705440477,6.50202645850662e-05,-0.000112118504856469,4.88162099402924e-05,3.10081342250548e-05,2.91251349881901e-05,4.50832502989231e-05,-1.962567245989e-05,6.46179854600267e-06,3.69687802621298e-05,-2.54299584940771e-05
"b_dist",0.0325358015764951,0.0942822052083952,-0.0476877555824291,-0.485467664765276,1,0.0890426712970135,0.0165897868716348,0.000897152992886821,0.0154274929630385,0.0722494664149091,0.00863752783112891,-0.00895876565499904,0.0153625028225657,0.0295950222596408,0.0281260610951716,0.0219936808344103,0.0142656105610285,-0.0227908803968054,6.78559068934233e-05,-0.000441683587833296,-0.000239143791967756,0.000348037289641438,-0.00019704994617187,-0.00018801666836227,-0.000220998802768647,-0.000228362417522599,-7.94821051622405e-05,4.64283021835668e-06,-1.76094860513649e-05,0.000116506566740251
"b_clima",0.0278435486864087,0.029544644830783,-0.393415547421336,-0.100187028836088,0.0890426712970135,1,0.0742578404339709,-0.0625801926383596,-0.00719885921474095,-0.00826647492980478,-0.138749145473657,-0.0318610164526216,0.0109097016827232,-0.0599148199600005,-0.0375154470465522,0.173015011825793,-0.0121356967671205,0.0624129600446213,-0.000143684504660189,0.000967006009939717,0.000599307077491103,-0.000780692917013534,0.000534926272471264,0.000637100182162865,0.000696483594550182,0.000672265714411938,0.000401794929789376,-0.000150268170758008,-3.59979467521701e-05,-0.000329711356741101
"b_cong",0.0779239760003769,0.0770425428346921,-0.0831142587231812,-0.380980321850346,0.0165897868716348,0.0742578404339709,1,-0.0728986594009701,-0.0344115209483622,0.00528939241204536,0.117694305313462,0.0662893229902161,0.12159758787606,0.0999556470342403,0.0826955002272565,0.108648867551547,-0.158292670800201,-0.11389031182373,0.000332930296434847,-0.00225976761963329,-0.000887867248433566,0.00170800702945095,-0.00108684273785777,-0.00110943584456897,-0.00119021790905017,-0.00118966473109242,-0.000408083206073971,0.00018156754229848,-0.000147842345904261,0.000555530370240779
"b_Hvalle",0.0105492067086569,0.00283962985681225,0.0045045368802195,-0.0377491040207607,0.000897152992886821,-0.0625801926383596,-0.0728986594009701,1,-0.00325390406128404,-0.106241352308012,0.0423642030025367,0.0132370100756411,-0.0195379115816064,0.0362702325801182,0.0362358732139565,-0.0512802072201665,0.0276600435718646,0.0270085366984984,-0.00012256989265184,0.000566253635851355,0.000257457819773951,-0.000397132989796377,0.000305501215466226,0.000306607500740242,0.000292143448683708,0.000346027550539213,7.88251533951795e-05,-6.12752174679646e-05,0.000125619604941402,-0.000183610222128435
"b_T_prof",-0.00455371902188209,-0.00374095756593246,-0.211579261093331,-0.00660944999129398,0.0154274929630385,-0.00719885921474095,-0.0344115209483622,-0.00325390406128404,1,-0.0647758687341769,-0.126795477753314,-0.00156804899664977,0.334683439612944,0.304875300676434,0.163943053532069,0.0113422460874603,0.0108667171942786,-0.00358307851611664,4.30270098922344e-05,-3.00143998466103e-05,-3.46188872255061e-05,2.88705905578869e-06,1.01436215918846e-05,-4.62467154757255e-05,-2.54614341012874e-05,-3.21914903563244e-05,-8.63738382943649e-05,5.580512408302e-05,1.28049971785495e-05,2.61223373924222e-05
"b_Hor_trab",0.0154794624908106,0.0274500200796777,-0.714333553070203,-0.129956665597467,0.0722494664149091,-0.00826647492980478,0.00528939241204536,-0.106241352308012,-0.0647758687341769,1,-0.100136383365588,0.104762319233746,0.012694665359089,-0.0506507140270896,-0.084980831426665,-0.0371059556103462,0.0197945002238528,0.0979954657964475,-0.000281707503513688,0.0019168944791449,0.00092029084896616,-0.00149876465529787,0.000862313009210397,0.000895915406402929,0.00099446134753823,0.00106937289095298,0.000444555222987944,-0.000105802943944013,9.87084071711296e-05,-0.000576064289071304
