"asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","sigma_FRbr","sigma_EnfCond","sigma_AFrSem","sigma_CulFr","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.158,0.144,0.205,-0.233,1,1,1,1,1,1,1,1,-2368.45815245975
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.158,0.144,0.205,-0.233,1,1,1,1,1,1,1,1,-2368.45815245975
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.158,0.144,0.205,-0.233,1,1,1,1,1,1,1,1,-2368.45815245975
-0.00262167825712822,-0.00396567827556282,0.00466503482311964,0.021005390008213,-0.00233361139544286,0.00558952253777534,0.00384377790032886,0.00199119333410636,0.0616603085945826,0.0597897371917498,0.00260291068116203,0.000955371302552522,5.42255584150553e-05,0.0013660611002706,0.00234073138562962,0.00380582851357758,0.00123437677393667,0.998626348125981,0.157779363832204,0.14397589449049,0.205267671130132,-0.232876650719671,0.999342834402341,0.997362934460398,0.99765177955851,0.999593533575535,0.988744722359115,0.989253855630523,0.98697538379929,0.994605071173282,-2340.4917512651
-0.0362725313880718,-0.0745930645416129,0.0188477420477751,0.199019737279292,-0.040746588720285,0.0233213250706405,0.0549304609284605,0.0109912398600128,-0.122671027774094,0.241578380464614,0.00556257558043818,0.00632807708631023,-0.003787747084173,0.0124345206084755,0.00283507396802298,0.0179559710781546,-0.00109677499868379,0.957199821314343,0.138616929437713,0.125411060453537,0.208436241949681,-0.24727336992807,0.983502731429432,0.927817516801609,0.935993595276677,0.989128480795224,0.683625806276459,0.698106294754126,0.632962298693348,0.850982073943739,-2232.51816010658
-0.0524866247101999,-0.114994336479965,0.0180302206210101,0.178385782366011,-0.0703612354063362,0.022812796479063,0.0726322693651492,0.0117530637238146,-0.104605340892242,0.222469646057865,0.00346345896870294,0.00825933572549482,-0.00838456831980915,0.0147938897000829,0.00016019110916742,0.0183065136513705,-0.00553683901337441,0.933351584666263,0.129116016589157,0.116104494206255,0.210413146262326,-0.254873172148709,0.980490952207108,0.888968917008771,0.902931824558332,0.979385470029909,0.517024460598866,0.549988434805443,0.435087597487418,0.791634864268447,-2168.22082282717
-0.0830537305067854,-0.184767893103267,0.018321007414523,0.194843619863041,-0.114134913781233,0.0237072720756063,0.104997551085739,0.014580346508861,-0.105239012813725,0.214908624875325,0.000411399825439954,0.0117320442579488,-0.0161219049413733,0.0192909337592224,-0.00387182488706428,0.021064709664841,-0.0136099025017978,0.877016581052954,0.115396300906056,0.106582748471019,0.219634503554622,-0.26660983460789,1.00103554899794,0.819547329821842,0.90036955169669,0.917315907168144,0.432397145300158,0.616090994912461,0.392268115120996,0.832318095589851,-2158.40384886708
-0.136290432880053,-0.305584077562016,0.019701189400463,0.189176227249373,-0.189644173072078,0.0263565936477753,0.152981183953893,0.0194815523128104,-0.108634912759753,0.213396097711699,-0.00412006979005699,0.0179213352451226,-0.0293050340450477,0.0275619829324413,-0.0106162331223183,0.0263294638265022,-0.0269304032351842,0.779063062037993,0.103598591652211,0.104027729243852,0.239271741138981,-0.278033808862585,1.02175499709879,0.734331732508034,0.880817811346843,0.830538219012455,0.423405230560283,0.584487146658899,0.417360382306242,0.842331449091635,-2147.52372912934
-0.238491578463941,-0.530483735709087,0.0198324148933499,0.218039567034769,-0.315278491050318,0.0281973831814286,0.237347395059217,0.0277080191348235,-0.0996462327445703,0.180660149512834,-0.0136848588440371,0.0297038331774578,-0.0550337168531754,0.0413049338197235,-0.023818417598421,0.034104347641147,-0.0541265634828346,0.595388780194334,0.0970817197309953,0.113697332850324,0.27730381177301,-0.284574149267871,0.942003322779432,0.718951913763317,0.8111351733496,0.731598722016435,0.423332238691389,0.588597663853406,0.429179357078313,0.812588446702517,-2128.85512838807
-0.381691544009479,-0.830266275073112,0.0259429926164924,0.157973606305102,-0.463021563488941,0.0374004167646002,0.299250496575758,0.0382532911611644,-0.126793657635984,0.214154806432988,-0.0209268118998814,0.0480355943305083,-0.0881201853312348,0.0630003301712053,-0.0403085147246523,0.0484974600619155,-0.08828509016266,0.348075043433643,0.12083920575631,0.138377879424118,0.324500001517862,-0.270930794255176,0.854325891510265,0.71538143048287,0.769111813271019,0.715085556251477,0.456149021585878,0.597572568485498,0.385211864623816,0.86514348157331,-2121.34981210426
