"asc_ruta2","asc_ruta3","asc_rutaEC","b_tt","b_dt","b_CongAB_ruta1","b_CongCD_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC","b_ACC_0_ruta1","b_ACC_0_ruta2","b_ACC_0_ruta3","b_ACC_0_rutaEC","b_ACC_1_ruta1","b_ACC_1_ruta2","b_ACC_1_ruta3","b_ACC_1_rutaEC","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_CSECO","b_Hpico","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_EdBasica","b_Htrab_2","b_Htrab_3","b_Htrab_4","b_Exp_2","b_Exp_3","b_Exp_4","b_Exp_5","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-390.935009835809
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-390.935009835809
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-390.935009835809
-0.0120000000060827,-0.0167999999939639,0.0247999999919557,0.112401923997822,-0.00713946406904143,0.00136000000566128,7.99999907030724e-05,-0.00135999998747138,-0.00656000000162749,-0.000799999997980194,-0.00608000000283937,0.0142400000004272,0.00487999999677413,0.00184000000444939,-0.000959999997576233,-0.00135999998747138,0.0010400000064692,0.00167999998666346,-0.00367999999070889,-0.00319999999192078,0.00855999998748303,-0.000400000008085044,-0.0028799999927287,-0.00567999999475433,0.00751999999920372,0.000560000007681083,-0.00255999999353662,-0.00328000000081374,0.00471999999717809,0.00495999998747721,-0.0104800000008254,-0.0124800000048708,0.0226399999883142,-0.000479999998788117,7.99999907030724e-05,-0.00159999999596039,0.00199999998585554,-0.00536000001375214,-0.00936000000365312,-0.00296000000162167,0.00159999999596039,0.0206400000024587,0.0153599999975995,0.00064000001657405,0.00672000000122353,0.0123200000052748,0.0198399999862886,0.00720000000001164,0.0148000000081083,0.00175999999555643,0.0135199999931501,0.00959999999395223,0.00487999999677413,0.0018399999862595,0.00431999998909305,0.00999999998384738,-369.166848329078
-0.0736440389265059,-0.120430472015362,0.143485705943867,0.0908614028235043,-0.123182501170857,0.0113416849114336,0.00818496260935832,-0.00933057964983407,-0.0417028063902082,-0.00567406167158124,-0.0374158892938848,0.0913723346890749,0.0274191323432083,0.015331175880301,-0.00640435576040817,-0.0107562602359927,0.00642634588854107,0.0185597349186287,-0.0235457470812987,-0.0237818788611246,0.0492248346508209,0.0061054934313217,-0.0176491702689962,-0.0433987095277621,0.0434080913768681,0.00695990721105682,-0.0169862285111815,-0.0263107709341675,0.0276428529011198,0.0531973013982002,-0.068009975976945,-0.0961803056745826,0.13563018964395,-0.000358688405208219,0.00131053945120177,-0.0124213258163472,0.00691190749514686,-0.036975541600223,-0.0558082430918863,-0.0139560764448823,0.0118136227864873,0.119588711335438,0.0927378167384441,0.00332608718447498,0.0413892863422375,0.0688106803158484,0.113013686127072,0.0437822760617648,0.0865425724176437,0.0116980015406935,0.0826847278643573,0.0497465778130767,0.0314389824266452,0.0111945058452183,0.0260309231165199,0.0522084305357938,-328.256140386121
-0.14437743426522,-0.308450301334724,0.120643763090558,0.104049697641158,-0.105881045153954,0.0622701967736718,0.0802625346474868,-0.0283889411546672,-0.109213540136723,-0.016896844447117,-0.0952387154178408,0.0781711453553644,0.00686548611202054,0.0903898333975695,-0.0192658750322222,-0.027378977004418,-0.0216737478399169,0.112718907886228,-0.039549876896086,-0.0514548556119509,0.0263234667193361,0.0621320531819359,-0.00516427016718664,-0.10464476940975,-0.000557669084191782,0.046649682234786,-0.0456516563724496,-0.0680178144323215,0.0697982026674188,0.331233971724518,-0.13494847959109,-0.225117248721375,0.13882073062896,0.0101735319313026,0.0191740288798161,-0.0361822075648913,-0.0199762980592524,-0.113975787211413,-0.15921716383729,-0.0383903992704696,0.0400751975665307,0.0945708949482945,0.0643459727148467,-0.022189203829598,0.046367333321593,0.0257771365463538,0.0885793143989719,0.00355913718815177,0.0737860508750165,0.0228838291490506,0.0835746908756926,0.019218160224867,0.0723776564911377,0.0019583477722235,0.0324437216885046,-0.0160973887049975,-310.843003504795
-0.0893632267734103,-0.432907808889566,0.136991128228376,0.103721711433002,-0.101509287961672,0.160325158214822,-0.25130214094247,-0.0972571299144585,-0.235735737446503,-0.0445939134631766,-0.0683625863902329,0.167610567179809,-0.0608087845447172,0.248841293990499,-0.0589125927875645,-0.0461841928850278,-0.11615603031173,0.0847964052915028,0.0284646767751651,-0.0180781133893745,-0.0350239450124925,-0.148664623301961,0.18534097176454,-0.099204142418557,-0.163299194450102,0.127181907520538,-0.117894614674436,-0.114072177884766,0.258136630375048,0.42281152071932,-0.106781780293627,-0.180341846892256,0.291853527301519,0.00919536265548101,0.119417089521839,-0.101314898921945,-0.158904120089178,-0.43731361860638,-0.410970263512382,-0.0987620785673495,0.221618009109714,0.093750443311336,0.0470297771194199,-0.146588645725471,0.0940061991938126,-0.0860697305204631,0.0553294417222781,-0.115667945598844,0.0986883760989695,0.0942323461646551,0.154476603881193,-0.0857854633102535,0.274332151751716,-0.0289700059435627,0.0659229447374437,-0.256246242395582,-299.449700834954
-0.297445220366678,-0.394464196424925,0.152364830410044,0.120254811111728,-0.269237070972307,0.231982207736722,-0.485470218511908,-0.222344166088505,-0.471802713042713,-0.076237556192751,0.0435569078220872,0.201541871962809,-0.112672876690527,0.385086911776469,-0.110584208142616,-0.0480534119120215,-0.198679887401536,0.0413842234959327,0.0617557234456724,0.0499195930372148,-0.176983240111233,-0.257895280073907,0.224772130936641,-0.00632588535189017,-0.320461578248142,0.216941773821901,-0.219856466603579,-0.135155565380148,0.421087791250403,0.604802355503023,-0.305198297850658,0.031383416402391,0.413289909685257,0.0422200955967115,0.204162067629556,-0.152099581163187,-0.27095900750996,-0.614633913023923,-0.307048505961692,-0.154064719719934,0.401352658929973,0.0811215772066028,-0.0242130548587825,-0.383050915540546,0.0196696241257737,-0.0585412119020173,0.0462925727297803,-0.255697869209162,0.122562855386559,0.195392137937372,0.105099297094974,-0.0931507872184292,0.438105917457587,-0.0858206556404166,0.0249570297866403,-0.372455761416443,-297.838032615126
-0.30594934228442,-0.562039037341195,0.21934992609814,0.103913678730667,-0.153718407217415,0.251805924683484,-0.644152738401774,-0.350317448119346,-0.61811649439271,-0.115318120297632,0.0832558516465476,0.249522917183768,-0.13601066654234,0.467686016100238,-0.147753851301994,-0.0494797044465852,-0.254320037640129,-0.0563862863854418,0.193422573653608,0.0702953428975002,-0.32184509784545,-0.306509073279828,0.31400940760387,0.015597636504191,-0.456851749151024,0.29486402262426,-0.270731172761483,-0.204129531892202,0.531203345565109,0.729225348906301,-0.296096305554468,0.0790027772943406,0.556194843010127,0.102972423907113,0.293007842037403,-0.200803145836788,-0.357263494924367,-0.658352139728575,-0.0423426723698343,-0.226536259298586,0.502579161550538,0.10590204062354,-0.0719666843535446,-0.677181112993335,-0.105468238370847,0.0570555953596269,0.0843812983805336,-0.364217954363651,0.168437437555794,0.313349962290731,0.0399564168700487,-0.0464410056909815,0.569298517403619,-0.159296101570773,-0.0588045967704453,-0.359081317544225,-293.745013128831
-0.223001511193607,-0.753529663527946,0.261846348148306,0.13746999635176,-0.381631956162411,0.232988995240419,-0.704025936386328,-0.484683115193374,-0.702820618038605,-0.154646922786801,0.0969848450940199,0.256933294571411,-0.144043951746438,0.501764580496416,-0.170013755606612,-0.0440955422768409,-0.320618834622146,-0.135931163898755,0.366288029275639,0.0684660418519618,-0.43317704314419,-0.335436415940571,0.400555495378835,0.00540015755652995,-0.584435358491215,0.342486994884214,-0.279837695357927,-0.250397306924869,0.530831921184998,0.806851751185184,-0.180434811263334,0.0999120391606484,0.611521096265133,0.182117819494648,0.365757535000599,-0.238396355973875,-0.383185849627357,-0.611412716786315,0.0681225478888216,-0.227932168715637,0.5189961379491,0.0588805159653819,-0.132280314240922,-0.986341090736625,-0.192951842606103,0.061229547089979,0.0596476950131465,-0.401616059251927,0.192029075447927,0.412722971898591,0.0174621496169551,-0.0472663285557156,0.688170752156887,-0.23859627353984,-0.168211106831126,-0.342140620026458,-292.672239890156
-0.384248501364844,-1.33104040352708,0.713452814852709,0.121313873279085,-0.336435347544532,-0.0255725002061269,-0.605551311881593,-1.24069588839452,-1.21863619774901,-0.337780511227891,0.151475259107412,0.547304678952191,-0.0606039051308485,0.504945496752104,-0.248510863642661,0.0652606199801661,-0.62040945064331,-0.422280054222725,1.03973637732776,0.174483808549492,-0.717242876667479,-0.385983498019634,0.430261433068361,0.0556702881069442,-1.09287127208707,0.481368371663309,-0.241643602938392,-0.284693232859194,0.0764210968007019,1.08429904511779,0.0210417109617005,0.670717668506591,0.930356483868099,0.708905712670394,0.611672296892579,-0.33391944896589,-0.340641410559648,-0.141072153186017,-0.311732606657596,-0.0751553914866464,0.357765145536628,-0.120800697351981,-0.165880510895092,-2.51363737686976,-0.336520890676877,-0.33232649058483,-0.0770748177155364,-0.198309180725254,0.33462052743964,0.877004784013347,0.396538248380152,-0.262502159710028,1.32726054463561,-0.61659697580863,-0.665399838458446,-0.246457496505774,-288.547396824987
-0.503222544417365,-1.76287323720892,1.26020708004891,0.0890983065531893,-0.267564356877021,-0.22849246053757,-0.457499266755143,-1.85978130629949,-1.27121345874169,-0.525479239207604,0.117710559250282,0.53859245489316,0.329162113926387,0.295241922539633,-0.218916639575886,0.16024349808024,-0.854521154683063,-0.191708834198137,1.17817149008693,0.269888744506621,-1.09965159190848,-0.575585870752193,0.647895921531215,0.0526327924083363,-1.23185973696659,0.214170700678096,-0.0203468810993484,-0.18830776791986,-0.520668750139007,1.26324845480541,0.235639125392218,1.12954397207044,1.05002328888353,1.05740232658548,0.810961788753796,-0.282775842522179,-0.0453644634581017,-0.258115675012091,-0.723308191381482,0.160530441821285,0.392629461241774,-0.00254589588897471,-0.233386547915298,-3.56269908220344,-0.758389781608516,-0.496944753280292,0.100621026261123,-0.129717440563741,0.197694790239787,1.20345479033664,0.2001022495639,0.301064986936349,1.63021787602428,-0.679504521490112,-0.494163325316693,-0.804949478087675,-286.051818342725
-0.642540193370689,-2.04250877993412,1.72478613614318,0.0869926605505301,-0.262323689231781,-0.173066507005307,-0.501059554898686,-2.25480564907833,-0.881876491569019,-0.712190569114342,0.0419714602835482,0.58351868105178,0.429639318411559,0.0933990234025937,-0.0785921454755037,0.237572443884374,-1.26030723228925,-0.0502039383799616,0.902042892487558,0.320059244934397,-1.0082186672928,-0.492218085960763,0.956896299299683,0.080077924079236,-1.44982960704963,-0.243055917352198,0.272216278542983,-0.0358838575485788,-1.07251755950527,1.61291100291258,0.405597728478509,1.44440997053102,1.00012343578219,1.16249344133409,0.938606863296527,-0.0899048550554102,0.305479523289776,-0.833982991064929,-0.336765154145097,0.0914147231696444,0.541242084480238,0.0644349502957991,-0.129859662886451,-3.98909769732618,-1.23055387021621,-0.854252340234236,0.170241925920395,-0.112699873190222,0.0604924884840556,1.2722807957254,0.782437361501166,0.225926532869608,1.58338162002179,-0.579953097920771,-0.282239874689789,-1.09653991938734,-283.428864362585
-0.760858681640388,-2.08690146621956,1.93593857276901,0.0784076475696123,-0.283331559588638,0.071314380320181,-0.594056500649588,-2.31359797134539,-0.440788792977801,-0.844925271119999,0.0457857778996342,0.768696974524606,-0.00867626168939822,-0.0222556244864049,0.111095776889694,0.259324245803222,-1.51634305126856,-0.0633371233074336,0.748780188630335,0.407248252935584,-1.26260694313021,-0.436411522478898,1.05587787347333,0.119928461926461,-1.52452411041428,-0.537198913746828,0.37376540457099,0.0852633908117514,-0.998966912308505,1.8934824933883,0.553335372450714,1.59219192339229,1.06094902326091,1.13796425514424,0.929095500398911,0.151664945643478,0.326528656722054,-1.10038807119678,-0.434617376710719,-0.275822207532888,0.553404151244865,-0.0784801894111186,0.026443383677733,-3.7222751832164,-1.49590385535051,-1.2441743211146,0.146551199496484,-0.170534437596194,0.165733765784603,1.18111134868558,0.786447926201764,0.573755658164799,1.27539268619735,-0.588425579247306,-0.266773078937903,-0.687066706677968,-280.94070156773
-0.847380074203373,-2.07701145010804,2.04625451973439,0.0771811057748361,-0.286649807544514,0.372792663767735,-0.57585368299531,-2.14928954715517,-0.37997225070696,-0.931264036397622,0.0809547510915158,0.47331981782637,-0.0838487600370152,-0.118164780575921,0.289012050935557,0.222280044327359,-1.62372159646387,-0.311634498448301,0.77712715965471,0.457223811265083,-1.43729419712359,-0.506196132872334,1.00480257681552,0.126379855725461,-1.58974495246066,-0.440270632570055,0.295928394788942,0.139306155136166,-0.680970310854201,1.98239388812933,0.640748580126964,1.52940425424975,1.26693289926969,1.1689126531408,0.872353934553389,0.367064410798754,0.119883920374482,-0.916311872984837,-0.416374674353827,-0.148141677888191,0.664832646270487,0.000724338180968828,-0.0590880805392658,-3.09764460297192,-1.47821474265954,-1.32956244585505,0.14761719434722,-0.122745358856342,0.0660154912934024,1.13924401345947,0.89261388383833,0.624976585959201,1.06831184199662,-0.494130264548502,-0.299097248762086,-0.640590517078897,-277.333138490441
