"asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","lambda4","lambda6","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_UsoPito","zeta_PrPer","zeta_AmbTr","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4,-2,2,4,-2,-1,1,2,-2,-1,1,2,-7136.05850978548
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4,-2,2,4,-2,-1,1,2,-2,-1,1,2,-7136.05850978548
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4,-2,2,4,-2,-1,1,2,-2,-1,1,2,-7136.05850978548
0.121145851153415,-0.350854148564395,0.772562445490621,-0.000637279299553484,-0.435958878370002,0.133895162434783,-0.471102626761422,0.359399964509066,0.0146991515066475,-0.128000283439178,-0.169393424584996,-0.255225313594565,-0.08496184454998,0.0107295491034165,0.59852945903549,0.183211133640725,0.525435421674047,0.308262944396119,0.445327521243598,1.53096388728591,1.5427147843875,1.53370572277345,1.14659888256574,1.41471193253528,1.47349563101307,0.649948251317255,1.35246653715149,1.26767802046379,1.38555634091608,1.74733763904078,3.15188884612871,1.54035958601162,1.47788950178074,-2.2207945290138,0.0765678307507189,0.73300004057819,2.20909121667501,-2.37343131407397,0.0496726827113891,0.855283778742887,2.10884979565162,-2.27465747552924,0.28053265507333,0.784127045131754,2.17310574912699,-2.34219518420286,-0.371697456808761,0.399280874058604,2.37479536695173,-2.3032928070752,0.227399130584672,0.941867048619315,2.03270967135904,-2.28691578336293,0.300414034631103,0.911709535808768,2.05772617441835,-2.55365557636833,-0.3324123788625,0.485608321265317,2.31006833160063,-2.50187540909974,0.0634848076733763,0.739796956419013,2.11689077655319,-2.09210437565343,-0.254754882713314,1.0224976829486,2.10383441258455,-1.76271773630287,-0.572957240161486,0.955952946038451,2.08515788795194,-1.88579459022731,-0.368557262641843,0.956952291540802,2.04336990969023,-2.64975284435786,-1.7565533121815,1.96162528259447,3.93205057398882,-1.68390769936377,-0.786456959554926,0.597314410493709,2.15981576871127,-1.77546476293355,-0.836146198504139,1.0867529088282,1.96998496499145,-5260.23367120948
0.258300279734848,-0.40649898861134,1.13606115696735,0.0669387592429666,-0.582662973147542,0.142227151281633,-0.582919520216167,0.423308464233221,0.0258730989430742,-0.238875666489248,-0.283137833403372,-0.377832726669569,-0.130654828553631,2.952390359349e-05,-0.0163747884815819,-0.451757669717398,0.0417135065295959,-0.492088324627458,-0.321907811572523,1.82229018344433,1.58563198264277,1.86703696470813,1.23092057337538,1.68454949769759,1.73777814394488,0.913401275520909,1.43277830498567,1.43837778336384,1.48272668537006,1.78056068578718,3.08325596204881,1.5093997603501,1.50622599419522,-2.06551754317147,0.159208918551657,0.785249941805734,2.34617123846501,-2.399312868807,0.0855119602780415,0.908323288135806,2.20733778616714,-2.04516769404691,0.469803692021364,0.794388504711,2.30455454101838,-2.31147969463137,-0.644223895777953,0.524324454943841,2.43270817232679,-2.07138791347144,0.403433056350442,1.01086428761368,2.0713482630331,-2.04736744582286,0.562150703726085,0.911424464191644,2.11929379285566,-2.34767732375425,-0.5393695391844,0.566403771356658,2.36671976286015,-2.47721527276745,0.0369061648753445,0.739316326670286,2.17748362064991,-1.87304499188087,-0.185866129987434,1.18504832122497,2.20893360832014,-1.63418564194743,-0.381589450762577,1.00490897163539,2.1666057100199,-1.88455932634,-0.166134287906682,0.98344759522057,2.0966400997012,-2.72791631880383,-1.36700262656274,1.9572832939308,3.90993987191746,-1.75869993021932,-0.650813907043651,0.413927128269285,2.1862702519919,-1.89151488552982,-0.725222386309031,1.17077957219087,1.96543197631991,-5225.84952264869
0.705401171281155,-0.294702170418004,0.884221227971316,0.0743572552033935,-0.555701040494531,0.0575143037015859,-0.234833853621677,0.350345823101836,0.0144277578551452,-0.334885305388177,-0.349663432833666,-0.415196850053011,-0.147512921482371,-0.0274300765245035,-0.0679682060453421,-0.402276995097066,0.00417298540589806,-0.462673022606355,-0.477721496652537,2.08299262896674,1.66032422839262,2.14386738306212,1.33678568099097,1.90958480686725,1.95299026696329,1.06264828747457,1.53106241750536,1.55674512927696,1.56620184521765,1.81435078698045,3.02929910588516,1.510639574011,1.56973564771373,-1.94435274112801,0.25774618629924,0.866426982758585,2.51317628841677,-2.39987900232066,0.140802826730942,0.973998718997485,2.32327481676256,-1.85073225892679,0.64090579290884,0.870660975644651,2.46372374288522,-2.31769315659785,-0.811092844811396,0.56936203211025,2.51024386079596,-1.85703534668475,0.605040783943156,1.1100512864639,2.12439621332165,-1.81785390782775,0.828575709600459,0.957307839589739,2.1973747528034,-2.2060500718667,-0.674996279448822,0.584115844283822,2.44308869048374,-2.44721143755782,0.0295445883225135,0.744099412390803,2.24939209094064,-1.69466072460385,-0.0862091715662119,1.36499684614707,2.34856698765025,-1.50580105329796,-0.195316330010162,1.0833364045865,2.26812698574543,-1.86550972100811,0.0332043088798016,1.02968057106999,2.15992909461043,-2.7291243725202,-0.96867666224217,1.95362915685305,3.88177696880118,-1.77903026208806,-0.559935603552617,0.252358555605426,2.20608339223306,-1.96035317569205,-0.641501749120131,1.26556805474454,1.96848009511131,-5109.5096766008
1.1950358901404,-0.123306184881793,0.721524792294409,0.156050833922219,-0.527401034029321,-0.0201260051319448,0.122789531837823,0.267704522868555,-0.0112714263498627,-0.48597908201273,-0.449312425265579,-0.466320670214892,-0.164884685155121,-0.0581266378467793,-0.143008196396917,-0.375417724074691,-0.213447721466405,-0.419241867837483,-0.785517550781994,2.32420177554635,1.77295238443598,2.36720592700214,1.51466774149328,2.0749619824024,2.0781927243481,0.999179007678836,1.59156828026744,1.5574035871707,1.57750670671542,1.82075862178783,2.93470517277333,1.51964216207274,1.6384772790465,-1.87790030574655,0.380844743015965,1.04664906528001,2.77511498056156,-2.38514644217499,0.194898554903123,1.08266286209323,2.50031300380322,-1.70724031286269,0.662569007725221,1.2314327340903,2.716977112399,-2.4234415658309,-0.813793779907163,0.55155279063432,2.62472578083663,-1.65603338708001,0.820745263603163,1.34642138969444,2.22411757093271,-1.57431935679103,0.644672745970447,1.58397364620814,2.3258536918793,-2.26321668433062,-0.655350531667919,0.535838134584447,2.5560146058294,-2.44501784341651,0.0220572333824627,0.764378521014326,2.35121413658701,-1.56628524520703,0.127314474546551,1.61833837820546,2.60189937002864,-1.33006228758175,-0.00840278393116276,1.27628746761918,2.43827599430553,-1.79155513094408,0.203817855787315,1.16161960628445,2.26077282979933,-2.58892454235977,-0.453208849915981,1.9585150078274,3.83322977564001,-1.75607875404014,-0.662763902520858,0.223050729700203,2.19811901480774,-2.01495252235607,-0.631384628197959,1.36999128418018,2.00523506152185,-5024.11491009111
2.03627731995964,0.850502082122912,0.893941244371652,0.837123179740631,-0.386313871630474,-0.0505650867133389,0.835794498093695,0.124899306504488,-0.194325201495289,-1.0981659188024,-0.802695590539791,-0.558369554649723,-0.193522324028932,-0.1299857822586,0.0430429900602277,-0.258726611169597,-1.38239102993518,0.316913187234308,-1.90782138354648,2.64641413007174,1.74525530231463,2.46155041736426,2.07573725728587,1.98285440552176,1.70753386516328,0.80189142067948,1.45927204025945,0.971269069244546,0.950280993919916,1.45080098891867,1.77764265860136,1.43325861783492,1.67251885396102,-1.99963743818454,0.597912111548712,1.96990482652073,3.91757072933254,-2.41786242774896,0.0558095926360984,1.58961806018685,3.25912142378859,-1.78566278905277,1.63047549920908,1.81022334020101,3.95138079839531,-2.89835495468455,-0.641995942341981,0.613769608501985,2.9668147491927,-1.30011974214543,1.14345653256147,2.45301632103611,2.82600291065306,-1.40009563113621,1.86649513776558,2.30197246597962,3.30573665999903,-2.49068100172648,-0.455891268454814,0.530559637073623,2.83439883724545,-2.515369210474,-0.225645077249671,0.966886823636708,2.72248831594777,-1.11707898661358,0.857503994618618,2.65555194198997,3.83153494766802,-0.69476776396065,0.484982608257615,2.30356637976184,3.26837308765606,-1.30338667160303,0.359809291188129,1.94625040406194,2.75128907186809,-1.64263608891154,1.31033730952889,2.09051371784915,3.62527675763573,-1.88596606579061,-1.18555539670229,0.441166514981583,2.022434967894,-2.18704708467228,-0.96603993287922,1.51536216993967,2.35119620094518,-4851.69964520759
2.15573774023832,1.11666300568811,1.06295794034048,1.00344380728366,-0.402759523720717,-0.0124035377035269,0.906142639148425,0.136940137143727,-0.262343308281019,-1.26793276416748,-0.890141733505792,-0.556515189914396,-0.210682272172651,-0.137085936833211,0.188771398763065,-0.225348051540117,-1.59454389133936,0.61710065071323,-2.20854371048875,2.66355300890848,1.69327266787257,2.42289916099742,2.10246595694498,1.82581827949691,1.60564879166426,0.837373584977924,1.50327205649898,0.941336421947116,0.835946332456484,1.32707196103109,1.43832601601459,1.5144588697152,1.72196136414115,-2.06571968122442,0.708403881788674,2.18476227108641,4.27783841338169,-2.45993669073294,0.0808261390534018,1.70705380630989,3.49316615206159,-1.79306018127594,1.55997869290991,2.23726958211035,4.32523934033151,-3.01716296106663,-0.692380653517694,0.690259449923162,3.08178305770503,-1.27971300715007,1.29732281042792,2.59646457343429,3.14966725181445,-1.28631587261995,2.13822824763337,2.45455824151916,3.61788418355011,-2.42778711809189,-0.504610405873071,0.599151889709788,2.88880594384371,-2.53824571546333,-0.187280036647443,0.989042016506078,2.83215897844471,-0.859712798056189,0.992643557474892,2.90313697875568,4.18669443257139,-0.49028641645696,0.692777553865774,2.48763921055235,3.53044424346544,-1.12437513381038,0.522446356787256,2.12096497472586,2.94269580012333,-1.11500951072698,1.64466521343577,2.24536958496383,3.55549419167074,-2.02465613432865,-1.05982402146195,0.377310175178199,1.99591244511195,-2.2379830356725,-1.00870265970181,1.53794383780305,2.44605249430398,-4786.06263949478
2.29398279964758,1.29664877442875,1.27580292243259,1.1110423017337,-0.466619294743358,0.0455887694595885,0.905656520149724,0.153466366424423,-0.333439722984288,-1.43134085611262,-0.954394357936092,-0.519941296294712,-0.233195310393558,-0.130565411875539,0.359790017878074,-0.208331738230953,-1.64390658761106,0.929366197554549,-2.52196493928994,2.63656994584803,1.71231012105586,2.36308509647704,2.03872324648883,1.64075147050759,1.54436640888863,0.825800765673236,1.55459722000043,0.984896151460421,0.893015387134157,1.19198731030493,0.946550342341539,1.66867094832503,1.81261657391637,-2.09519807518179,0.776007570336533,2.3859986245722,4.660827013052,-2.42594763062078,0.128793798031151,1.82120788904686,3.73724773616947,-1.75052855401191,1.82879068793303,2.25227396845578,4.7255744761149,-3.08714269600068,-0.814990704682511,0.791286192766075,3.21174815844211,-1.21467901582399,1.39978942372303,2.77131507281946,3.43869155830232,-1.10429776361212,2.15781723441679,2.69996317037754,3.93034653007632,-2.31171972224695,-0.55463764838313,0.653451869930115,2.92776083246354,-2.5343889434651,-0.145291272266204,1.02189135451037,2.95083612880236,-0.608718606978694,1.08764499922848,3.11435392265637,4.52811372196934,-0.297394441822526,0.894172937784543,2.6025516816079,3.76943301455064,-0.869959955195799,0.778489175488518,2.25970137119576,3.16393347074587,-0.48648059448475,1.73492802642223,2.57529097628094,3.47318285623277,-1.98603293703531,-1.04510508980272,0.288734749001508,1.98692732253887,-2.29907765898475,-0.987755103295728,1.57353207975006,2.52327237484127,-4716.78324838876
