"asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","lambda4","lambda5","lambda6","lambda7","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4,-2,2,4,-2,-1,1,2,-2,-1,1,2,-8695.28561770583
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4,-2,2,4,-2,-1,1,2,-2,-1,1,2,-8695.28561770583
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4,-2,2,4,-2,-1,1,2,-2,-1,1,2,-8695.28561770583
0.133595283841714,-0.338404715876095,0.73521412559785,-0.0302832922898233,-0.444436969701201,0.122845201985911,-0.446894759079442,0.345719861797988,0.0133511057356373,-0.122188095701858,-0.171679042978212,-0.248567215749063,-0.0814189115772024,0.011951764463447,0.566724131000228,0.742597821750678,0.337460161768831,-0.0138260986423122,1.58398640248924,0.378781794803217,0.415872560348362,1.52454155229498,1.48669148236513,1.56273014342878,1.04568764416035,1.54810420260765,1.5812485323986,0.778967860038392,1.10739477875177,1.25099005142692,1.31104356457945,1.21263594680931,1.31129253329709,-0.375727384584025,1.60433732869569,2.74845717265271,1.13538167695515,1.16768478963058,-2.26236612757202,0.0319815046386795,0.724654728197493,2.20451315504033,-2.36215846193954,0.0460158955538648,0.86243607418146,2.10948668932542,-2.31893923005555,0.24010059516877,0.778496538056061,2.16838683222886,-2.36818548687734,-0.418875086121261,0.379866087110713,2.36817706131842,-2.35697605926543,0.233068134752102,0.943218354019336,2.02814500476234,-2.33739316859283,0.294169880566187,0.914849307970144,2.05531831993721,-2.51608151989058,-0.29570744279772,0.480226426385343,2.30263650114648,-2.12862277799286,-0.600528404698707,0.361578244133852,2.32216931867879,-2.15942842583172,-0.815303497598507,-0.000844771624542995,2.10838780144695,-2.49372448120266,0.0656193917384373,0.745997309219092,2.11700762843248,-2.0558651809115,-0.222970887785777,1.02008676528931,2.09744608541951,-1.72415492811706,-0.563987526926212,0.961006818921305,2.08563716255594,-2.14014300541021,-0.965058508678339,0.659277440514416,1.51596165192313,-1.77592473442201,-0.318636633688584,0.954304395942017,2.03740804095287,-2.61681312904693,-1.73063827201258,1.96279786864761,3.93037221429404,-1.86032006563619,-0.813716567587107,0.603538934024982,2.16956795298029,-1.97076076397207,-0.874256216571666,1.09875072282739,1.98399494506884,-6403.76353974004
0.166407087918068,-0.3462447344956,0.792124651926281,-0.0314852391317884,-0.477364863263925,0.126112436786093,-0.464816082963304,0.361024303879397,0.0127687448488151,-0.142830301611774,-0.195033255288572,-0.267786022319986,-0.091770876807279,0.0100160563606606,0.453057413241171,0.663450660158968,0.196976766536128,-0.202714472911902,1.60583488580501,0.244363024163603,0.277650386123906,1.57296121829699,1.50089871048816,1.62016208720829,1.05909550244777,1.59742468586434,1.62332632060484,0.805818883400423,1.11882821159938,1.25796880369346,1.34367330064204,1.25928918067216,1.3396375807384,-0.380259892546233,1.61188566574369,2.75391039168471,1.06127160878149,1.10644161709022,-2.2429604213971,0.0399052644733717,0.729733019570342,2.23073880051788,-2.35529659161935,0.0556667021242671,0.872644218717742,2.12870281271514,-2.28747799687214,0.267690017279777,0.777274422764556,2.19467185445686,-2.35811010649701,-0.470099311138709,0.392750293101613,2.37695848999259,-2.32877720771312,0.258726104819892,0.958601739159549,2.03670974061118,-2.3047347043279,0.338630590946632,0.91569185669945,2.06805537816472,-2.48139287444914,-0.34601016933618,0.500540980191763,2.31403519349375,-2.11989894086168,-0.607982337150696,0.375877522491265,2.30038448943943,-2.18180985267953,-0.83239743667088,-0.0331988575410389,2.03075962302741,-2.47807748939595,0.062052321509471,0.745564629916023,2.12916076156088,-2.01263734428536,-0.211351898740109,1.05247208643789,2.11835733620266,-1.70074979111562,-0.524224160364113,0.970103040388203,2.10196942378265,-2.13018909851383,-0.914738570708942,0.643106461255789,1.475485985159,-1.80687319746215,-0.273996882789357,0.962829053762006,2.04896960179395,-2.64106995072335,-1.64943916640391,1.96350245689988,3.92460273449738,-1.88189932504456,-0.809299037861441,0.560874786838768,2.17381464178367,-2.00852029296928,-0.879802217748898,1.11013371298914,1.98397720144381,-6319.28377857621
0.56632840635146,-0.25471611731308,0.62037993862674,-0.0996671291247136,-0.508722342236572,0.058502014336852,-0.204849775259108,0.309702846708654,-0.0150642723058677,-0.234292645844699,-0.270348862993723,-0.277555714370754,-0.120979552639321,-0.0130713280011892,0.272947234549476,0.661770267988644,0.234341532115852,0.0471527249979228,1.2950438413457,-0.0156865555205384,0.0835608101744963,1.80659172751087,1.56188623270087,1.88543454884949,1.11791115191532,1.83949364164875,1.83245370618506,0.894302360428733,1.19049863355442,1.24151396375514,1.44760401256469,1.43949384468867,1.4459536086621,-0.375691913262224,1.6543416388907,2.80666810134926,0.770176354510499,0.889281358777076,-2.20625600953945,0.098024212643387,0.761776417649406,2.39374003846094,-2.35738364389933,0.126389191663119,0.934045029484395,2.24953758865711,-2.19426917687869,0.423411756917496,0.793984777405445,2.35805805735795,-2.3475505016282,-0.654505824712506,0.364018873994265,2.44083380870141,-2.22835049241463,0.425946044319456,1.05467283244647,2.09306220825191,-2.16980435891639,0.604987865744178,0.934993975867424,2.1465830740303,-2.33979328953526,-0.504139058953371,0.503112951520533,2.39449949111413,-2.08375273438573,-0.635923735701469,0.362485674953286,2.16805553873802,-2.32325954448104,-0.953109063973073,-0.285711648672918,1.5685885160744,-2.45876061979753,0.0595956857419496,0.738395888792082,2.20680721076997,-1.86758398958497,-0.134041702423648,1.22843573475491,2.25703722367642,-1.61285902208166,-0.332850738126547,1.02884879575751,2.20178016867155,-2.05371205355217,-0.661660789144559,0.548528961884608,1.26908582368204,-1.9657271519805,-0.0557810127025716,1.02440142601569,2.12166195477392,-2.69274851720804,-1.24613945971224,1.96668911117973,3.88989488014723,-1.91988145472325,-0.809638091591182,0.321335221254895,2.18449386021553,-2.15074926195174,-0.924647443025802,1.16686589494788,1.98059860405718,-6189.05258974285
0.8306230082889,-0.0800735193954966,0.490447714829878,-0.0475560946987665,-0.497283245909273,0.00680655611302856,0.0334505069600287,0.268678392144004,-0.0650809528637555,-0.332035573949578,-0.360237613377346,-0.268678487320282,-0.122393961229074,-0.0137911660616219,0.0769483113346144,0.521983083312285,0.136713012273009,0.121699374695961,0.875647604994636,-0.307796510940679,-0.137829185050843,1.94183921123295,1.60166257185863,1.99995823823675,1.2300192120201,1.96772491333328,1.9274344513672,0.917778154485038,1.23455028933418,1.1234371357185,1.44638950307612,1.46468487485752,1.47277334554128,-0.220456829039799,1.69008350974334,2.77362509539663,1.09362931816012,1.1914179324964,-2.25595693164141,0.107385014489545,0.860411468390795,2.59349388182229,-2.35266109989328,0.161305497645845,1.03766980384497,2.4023735142204,-2.19912983250325,0.453814673072741,0.944303766275862,2.56345194546498,-2.39045115894216,-0.705548536598285,0.271662848068644,2.4994666574205,-2.18319880476228,0.551087157740239,1.21053348321954,2.17883509755253,-2.06736129407999,0.753240629284235,1.07479990607279,2.25142805869935,-2.26249711724698,-0.497051296747604,0.420730317329968,2.48072068234665,-2.06473354285045,-0.668702917520946,0.327154137909022,2.0526892923684,-2.49749033911686,-1.19382034368532,-0.511107013061992,1.15114429588471,-2.47747632393733,0.0197732705252858,0.763004883220706,2.29885977679661,-1.8244067893189,-0.031723972099508,1.42936116424502,2.45909153045276,-1.52260711718697,-0.207569689608502,1.15765681923994,2.32966088953648,-1.89955597228425,-0.533597637517042,0.485886353366945,1.17265741370558,-2.0549464396942,0.0297828498318251,1.14210178859426,2.21830259768679,-2.69466323144946,-0.885044300768979,1.97977632348398,3.84961785261763,-1.70345368915862,-0.860787270235325,0.139863255072319,2.13544347111577,-2.09041847425612,-0.983839433388676,1.2029729351264,1.97659321782636,-6109.56572089397
0.91160408389919,0.136258032949045,0.428163173551995,0.124367248205439,-0.436803501753939,0.0042479980707293,0.194301061531578,0.233264863467451,-0.130554559391044,-0.418915445225388,-0.435506384242275,-0.24797606161034,-0.0889268421787845,0.0116759359415541,0.0670945048370481,0.284417496725431,-0.033418635179925,0.0907044961147673,0.459115500272263,-0.393321590862423,-0.158136531283894,1.98995360660582,1.59011484777644,1.99419021031019,1.30083146714268,1.96981206818483,1.89832824541269,0.880552522011863,1.2154502897716,0.936964382226601,1.42349062343164,1.38359037202362,1.39348658015806,-0.269041143947534,1.79435261892202,2.71492511347581,0.968977128270776,1.21911366347976,-2.36279493991772,0.101897644989808,0.970271295846948,2.79604547386065,-2.36609357491648,0.171736203136583,1.14837152448353,2.56398016510307,-2.27798838881305,0.465269197035645,1.09810520030446,2.77854805535374,-2.48643355913272,-0.716626295272119,0.214830143397875,2.53498190318942,-2.19299345835471,0.62451035374755,1.37640755638556,2.28941999832282,-2.02312122106278,0.794379390066923,1.28068738027303,2.37316302816829,-2.25360640053108,-0.437958437548593,0.389862122054436,2.54284377203988,-2.09280248127247,-0.711055376501393,0.258000188564524,1.98395993338804,-2.68475201983349,-1.45402977494777,-0.742414219100282,0.909875372027234,-2.51241399011914,-0.00972737243784526,0.792089171526601,2.38501344280384,-1.83099092500133,0.076059377118844,1.61890733518164,2.6934219930339,-1.44645078737622,-0.146557740283366,1.32347215250336,2.47489209416643,-1.72279631678701,-0.627041834650298,0.463875814482176,1.1222572610503,-2.00765836491677,0.0260074070878807,1.2787368997677,2.33002481331631,-2.55968707448702,-0.60618826617512,2.00561190223339,3.80958080812101,-1.74568404951946,-0.880747956076382,0.0741343539036223,2.05961447488868,-2.16241908108985,-1.00614498341891,1.21941145954927,1.99287863276947,-6044.11031829468
1.02265130496922,0.310284339844838,0.461608375582321,0.317790156626403,-0.395436084928083,0.0572605537275658,0.271326595874066,0.217550210460818,-0.208872358945938,-0.528292097895112,-0.504956812063925,-0.241944229050818,-0.0434613689981319,0.0487161304950542,0.289487040891985,-0.0122275686638157,-0.290324352211333,-0.037863819968778,-0.00177771899450574,-0.236487773778346,0.0437214078720473,2.08036529830914,1.59435837843277,2.03728398239298,1.33329414372883,1.94073297062599,1.83395011564174,0.88731782502694,1.14082263865435,0.852338187528509,1.4987344161421,1.38162241648538,1.29844893779142,-0.166132330247493,1.7842120976685,2.60819406333864,1.10131445793898,1.10764304702546,-2.4822982240331,0.132139016892085,1.06894874621736,3.05613582308005,-2.37540913306045,0.219211469103088,1.25856880151375,2.77627038598768,-2.34237736349278,0.554736421283092,1.2170050028655,3.06104002673682,-2.61577491093704,-0.844811356337276,0.257251844506326,2.56581814549294,-2.19607189599977,0.730584256634842,1.54005318695475,2.46221370274658,-1.98809459645717,0.959455660187583,1.42515803384779,2.55990664078478,-2.21335559127056,-0.506567801156148,0.534019398374751,2.59703076311406,-2.17468564090925,-0.813238367924847,0.166624335358632,1.90673364355801,-2.93501149594108,-1.69092035612716,-0.993068371249948,0.710521585044025,-2.52306726347532,0.0137300756121643,0.808872386406286,2.48537621631611,-1.72548509878114,0.176855239234004,1.83164889915767,3.00092233247877,-1.33920961640797,-0.0269656436991652,1.48683807796131,2.67463485056094,-1.63396051146217,-0.567494086498476,0.356912225310122,1.18153420404206,-2.01896467458912,0.0742362023136112,1.42293571424233,2.50216136254603,-2.29470644901318,-0.288823808221702,2.05196371947358,3.75892771390094,-1.71455601842921,-0.905584284048201,0.0861094510708611,1.94902927835595,-2.29513205913285,-1.05179649682518,1.23383489813085,2.02719766634635,-5987.78169245894
1.15149546198362,0.348313958725518,0.602875385431948,0.424732131180823,-0.412880076029096,0.126073449856132,0.210010188293261,0.25314298777613,-0.253187935390627,-0.614282062883568,-0.536478093479406,-0.246265331498423,-0.0105841437633375,0.0770532688470353,0.47448837452668,-0.108414218417109,-0.472123283736155,-0.100022922866646,-0.457576476018675,-0.11013843411445,0.155339846798703,2.17106840377889,1.63702969333462,2.10121262416779,1.39812412127058,1.88511447021807,1.76638512392267,0.936080717555394,1.07617476481506,0.949428659707089,1.57706274848474,1.40963723456021,1.26154862555387,-0.193224040715595,1.7094178986595,2.37715613262135,1.05707811104944,1.31752975439968,-2.54293017099051,0.14732908805335,1.14609399711862,3.27919037355872,-2.33583551919184,0.265328702827898,1.33926753463324,2.96147601916029,-2.33512551091032,0.629355565054328,1.29105886854985,3.30774036429252,-2.70862924640298,-0.933946560966061,0.308004717849053,2.58012051722813,-2.13660658053352,0.800304796567915,1.64954336711996,2.64296903919073,-1.91254676510277,1.10313126629,1.50226380075198,2.74792838730881,-2.19208557307961,-0.476539539919699,0.632238547335728,2.63432154654202,-2.2690608396028,-0.930195027697884,0.0974894812834824,1.80613770425984,-3.15168299605821,-1.83710828017026,-1.06001323893288,0.625921636763751,-2.51924154557716,0.0331015643793497,0.841066934823844,2.56439305400789,-1.57260736581976,0.229644527472711,1.99153745461114,3.27066794456337,-1.21646044056634,0.0916789948948146,1.58634899598531,2.8468975879882,-1.66282954266968,-0.557184889668653,0.505399771944495,1.08133917992622,-2.03509460937047,0.150561599403649,1.52433215128222,2.67857628596729,-2.04040401610294,-0.0490167535429118,2.10817501283295,3.71904241565824,-1.81273552421177,-0.891637626012712,0.137030026061528,1.86792449718435,-2.27454222248383,-1.08953206156359,1.2408372505573,2.05982345140195,-5948.21203610344
