"asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","lambda4","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4,-2,2,4,-2,-1,1,2,-2,-1,1,2,-8548.01673914327
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4,-2,2,4,-2,-1,1,2,-2,-1,1,2,-8548.01673914327
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4,-2,2,4,-2,-1,1,2,-2,-1,1,2,-8548.01673914327
0.122901721624658,-0.349098292645067,0.76729484135285,-0.0145427329698578,-0.436566420830786,0.133859866764396,-0.462311974843033,0.360097226803191,0.00929593807086349,-0.128903746372089,-0.180606366484426,-0.253495629294775,-0.0749781174818054,0.0142408825922757,-0.10601975757163,0.154868986806832,0.721260683145374,1.1251163193956,1.59024871734437,1.69134338991717,1.71909390680958,0.52483874221798,1.70400413824245,1.82008904428221,0.894295746344142,1.06850909267087,0.750146613223478,1.44031722063664,1.21068051864859,1.32908879802562,-0.461239764466882,1.76401802652981,2.893233958981,1.5177784623811,1.55424062884413,-2.46438633580692,-0.0792034950572995,0.696250175475143,2.19311846699566,-2.45389248407446,-0.016946254414506,0.848002669750713,2.10012910934165,-2.53319981088862,0.121732027968392,0.765772183309309,2.16304101154674,-2.3724628186319,-0.488437664695084,0.296316455001943,2.33022960997187,-2.48243603669107,0.142421577242203,0.931803686195053,2.02825650153682,-2.47507388808299,0.216425735037774,0.909448713879101,2.05579233402386,-2.35191512142774,-0.12682683498133,0.578779359580949,2.33217990130652,-2.16934014274739,-0.666959207388572,0.240150791592896,2.22521486971527,-2.17630383081269,-0.836451504961587,-0.0909057455137374,1.96769505378325,-2.57482371630613,-0.00188062747474738,0.724435576354153,2.1050252612913,-2.02967151522171,-0.231146357487887,1.02351027796976,2.09876374679152,-1.70054787991103,-0.556291993940249,0.961327062919736,2.08206092752516,-2.13184697309043,-0.972269622958265,0.645022515323944,1.49818944151048,-1.79244639689568,-0.35031340282876,0.949617238598876,2.03647162520792,-2.60887379327323,-1.7382754663704,1.95713458338287,3.92931335873436,-1.64216230728198,-0.796597243403085,0.588093676720746,2.15610562695656,-1.74623357411474,-0.846164064365439,1.09010576468427,1.97373744554352,-6350.49337772316
0.362548446563507,-0.339649151661645,0.843728926104136,-0.0182547504688893,-0.502569072089347,0.128372844304926,-0.368882259087747,0.323584868940331,-0.0144466026845071,-0.220819488530657,-0.250807201519306,-0.320205662340377,-0.111318787212464,0.00648013610024154,-0.234471329105279,-0.0706025933939071,0.483398331491246,1.036044364321,1.77945615995779,1.81907779003207,1.87957565846896,0.653805366764804,1.8521059780987,1.96506594319924,0.833344693481594,0.871408508579812,0.324725035830974,1.64036276483915,1.42560013370461,1.4758132999477,-0.41918537641174,1.81081508996751,2.96687552442612,1.37887115949532,1.43327918699483,-2.47865888282339,-0.0529872535364163,0.651361570022065,2.2950432944768,-2.46789050096363,0.0253808238186813,0.857662874916444,2.17312523515868,-2.54831099330188,0.225973320155816,0.709617374324062,2.27305250307779,-2.16150898374921,-0.605873671029942,0.333491729162327,2.34091858149856,-2.43723363061501,0.249403861600806,0.965685713414834,2.05903149694456,-2.46570587249441,0.395826807743564,0.895581495645665,2.11161643191836,-2.18950351023446,-0.402087677262352,0.767243666972768,2.40907395954843,-2.20662680399823,-0.825917088740454,0.161733544959917,2.01315877876959,-2.2643616502551,-0.941841588429102,-0.350202246100505,1.40186736073485,-2.51230238939346,-0.000475825786106222,0.680354683968092,2.14169940812035,-1.8026833663002,-0.159653961847821,1.17025648812266,2.19925620938656,-1.56830524506466,-0.353953156604554,1.0096829111295,2.15820680637567,-2.09232921729799,-0.728351107547377,0.588130028156764,1.32952367123819,-1.91980476869837,-0.153002053075589,0.979115382509985,2.0873293506674,-2.67401478373373,-1.36826348415307,1.94480334146608,3.89097121492949,-1.74335457080232,-0.701737729140751,0.381725850475362,2.17264016945332,-1.9137535460023,-0.788724424197331,1.13921451195478,1.96774504218549,-6163.66921702719
0.643451161568939,-0.202493366103179,0.768876453292524,0.0475791852799085,-0.475605549473586,0.0986859202758973,-0.10360310113866,0.243414385638081,-0.062732400634945,-0.320721201929296,-0.316449331315421,-0.334642812912807,-0.122292346877867,0.00758416051406256,0.00918706328839344,-0.0620652478890994,0.329128963024377,0.915219886947426,1.9164895961949,1.95843888718949,2.01212017312006,0.550127823762424,1.93627158526712,2.08464919579529,0.717063660892491,0.365832071264126,-0.153285968705794,1.67679921089109,1.48936188933571,1.56985047442283,-0.349834958597502,1.85572282814759,2.96428450543626,1.3569239196102,1.48778167011957,-2.54754667180393,-0.0991070128346475,0.676536439220971,2.4238922483504,-2.47257767203324,0.035219436815045,0.909460159299866,2.27470870618534,-2.56740222939078,0.226669641574652,0.751892275782671,2.41415499701459,-2.08173542031715,-0.54955306273324,0.20898273172166,2.34975405818985,-2.39270707098746,0.31707257992377,1.05055852935307,2.11017419634544,-2.43005708280447,0.505095004502048,0.950780423528976,2.19165626394475,-2.15513184337366,-0.273121122282468,0.502284150571113,2.52868095423977,-2.26111844740602,-0.955804340148602,-0.0968998821926506,1.68073495616584,-2.3325248090205,-1.15983787106586,-0.474816022732472,0.789567466343578,-2.53831098173272,-0.0543840782763713,0.675361881699158,2.18472308166993,-1.76967852984414,-0.00868106977049238,1.36034857850123,2.38900563863956,-1.48264997561922,-0.212494996599538,1.15983729387652,2.28187872488227,-1.94727276783281,-0.617925980658257,0.514229659422046,1.25813655630213,-1.97053311512986,-0.102085592210077,1.07530851063824,2.16791610066182,-2.64815572780836,-1.06036706185345,1.93612766809746,3.83997367169678,-1.61427582377785,-0.816936386256316,0.267483396962077,2.13662736303096,-1.83907540730907,-0.878458728591341,1.19915233136847,1.96903787544878,-6068.30709584108
0.662577308012005,-0.0795431866936789,0.947021783697886,0.2073482205394,-0.485740006829022,0.121107865497608,-0.0657710210504193,0.264498640628121,-0.105298009688644,-0.40283669036952,-0.385773430736221,-0.345804808334654,-0.11397078150591,0.0274886786148437,0.0294604999037636,-0.323562734802318,0.0646503446470958,0.602268300569372,1.97844439833183,2.01429563814118,2.05894603597501,0.511776598649122,1.9265628833838,2.10122644079035,0.536343589761399,0.0715403170859556,-0.160562117476019,1.67135828444049,1.47313089551441,1.58638542511189,-0.313359590333258,1.88550158555545,2.88224198431659,1.36790268491588,1.534611314198,-2.62942058970494,-0.162400558116714,0.721380392513231,2.53486759549,-2.49384374005995,0.0128616514324927,0.970678946145398,2.37011000114634,-2.59543996595793,0.175512650535925,0.825500771354667,2.53979318818203,-2.0348409224402,-0.52547808122543,0.221664268079977,2.33382118134284,-2.36275869720378,0.326881758330329,1.13955633688397,2.16599145317164,-2.40265309404254,0.508517905662457,1.04430778071724,2.26996490798255,-2.12267751905384,-0.289519917425338,0.372661215998169,2.57969843090513,-2.22565877901245,-1.00121052791191,-0.212796529930756,1.37267649603948,-2.38355569088013,-1.24713388816913,-0.603510740987657,0.712769485097118,-2.57105828699991,-0.107455916494232,0.68201184392369,2.21717093169303,-1.7989954931835,0.0967661561716529,1.53418575077004,2.58973867110632,-1.45741016582843,-0.146924918275874,1.32894528326435,2.41753000181708,-1.79043171567325,-0.655238372525175,0.513692980558715,1.23189353418163,-1.96901269854765,-0.140015218542454,1.17659264568347,2.25239148685305,-2.58303942197094,-0.870140113822389,1.93376705216397,3.79331048490063,-1.56508238528932,-0.865271443564275,0.231855490270729,2.07586589058447,-1.80915477356692,-0.910830789348405,1.22473042408593,1.98542953993684,-6024.31374932442
0.824457447391427,0.102601562050706,0.970614739455495,0.344960301042763,-0.445084305514893,0.113757565533449,0.111299533976559,0.235932443464281,-0.155756767647071,-0.494659821403854,-0.443042385273655,-0.319181637199453,-0.0917316804997162,0.0409760755404862,0.337817656413164,-0.343765391710219,-0.06057499980182,0.329197804314776,2.06821652992678,2.06663928322287,2.11579981782312,0.509561528221265,1.91390639038439,2.10728292619554,0.341624878055824,-0.00710805097942299,-0.0656757637589696,1.70824359884327,1.47808947972143,1.59973142430931,-0.377327381350599,1.94943108377762,2.83773864140537,1.39776490083527,1.56856320239719,-2.75623573916185,-0.17689964378772,0.747330577998145,2.67831712996264,-2.56105829915498,0.0323519657313973,1.03081500662702,2.49601045336758,-2.66794306666925,0.184678064741931,0.887206217197755,2.70384329812951,-1.99433036515885,-0.488215615506144,0.278817105330836,2.32193873918369,-2.35412561387765,0.387433764001873,1.23340220420858,2.24540196771879,-2.40534409040252,0.556627652620877,1.14845932777678,2.37699552392983,-2.05909047311648,-0.411870702619443,0.387425348829114,2.61146180155835,-2.14607506959769,-0.975991976026996,-0.240809394443089,1.10352681487528,-2.46166620914713,-1.31249301980875,-0.73917465047945,0.815990818515725,-2.62326313720033,-0.0975649611207359,0.664931159300369,2.25767357823096,-1.8143076008481,0.211008928263978,1.73705583054363,2.85380274748743,-1.43995075761102,-0.0644227271971961,1.51743700816558,2.61004743261255,-1.64441094097689,-0.684420118591824,0.478186063124382,1.19775458062076,-1.96192849931226,-0.149278785198313,1.28545513241198,2.36905845510164,-2.39871050473146,-0.6651903418147,1.93162180176445,3.73010640695154,-1.61808109743868,-0.801184575975498,0.18901700460004,2.00215890978106,-1.85407068020463,-0.871302696112061,1.24161032586117,2.01413046097743,-5986.3803315468
0.990297950990531,0.267817720370071,1.05592024506452,0.458312237654493,-0.427605617245864,0.115549841414782,0.214805327762055,0.230919488032361,-0.197430051548575,-0.583613140297577,-0.500872526606123,-0.281476334338293,-0.0577692695262526,0.0569329859890814,0.545980964764945,-0.419208421967916,-0.161060237076532,-0.0512376230089477,2.16533742908283,2.10318912078199,2.16856743714833,0.512319198630888,1.89083304874263,2.08801430769801,0.377344145673144,0.184643295211521,-0.0683081432339038,1.76671537212066,1.51777964291942,1.61108129917921,-0.342724852433055,1.9919763120517,2.7254340924526,1.44992604879481,1.59399645171154,-2.88208417840477,-0.1877199874876,0.773057530640739,2.83480946269428,-2.63110225527702,0.0495008095184715,1.09508526877052,2.6389837627681,-2.7434819813346,0.209575445341944,0.946658672879447,2.88779109030646,-1.95437438318915,-0.444910503956041,0.349052872809888,2.31544175728532,-2.33164340507594,0.449418268767627,1.32614775204795,2.3444840225151,-2.40586028646488,0.61031318936527,1.25272976813292,2.50620226418867,-1.97011942707439,-0.291244210940515,0.392917532994832,2.61968455967376,-2.0477703911323,-0.923895368683888,-0.204250902742634,1.04004987378503,-2.55545968140754,-1.43066559460079,-0.657322474416821,0.822766911039305,-2.66068100097289,-0.0900555480503388,0.65846716642462,2.29689438138702,-1.77822513253905,0.289116930325484,1.94576707141594,3.15433606869589,-1.41340420334981,0.0166989365164267,1.69594164073083,2.84488192247411,-1.5832355929382,-0.621666922372464,0.465276052937764,1.20503551277449,-1.97827627245458,-0.126007148095784,1.38875231972961,2.51140994923815,-2.17719352610342,-0.463359842142246,1.93498961372332,3.65568404479512,-1.63493825327544,-0.81280847585226,0.19898224435348,1.92483725611068,-1.89094283984054,-0.846996336510751,1.25891914660419,2.05174897028993,-5951.71766685059
1.16510393075797,0.399497036409419,1.08095466441741,0.494270145608199,-0.420126970378406,0.104559315761272,0.272736298275538,0.245542721221724,-0.217745960538778,-0.639805992982656,-0.534962895380463,-0.235131154035976,-0.0195346437570921,0.0663428100277449,0.606449672490281,-0.451874453958133,-0.130686016141238,-0.305976989405576,2.23584449759007,2.13898863392327,2.2150367847544,0.450494217123005,1.87383256595007,2.07361258113077,0.445196726477351,0.192854145839395,-0.0255316450144792,1.7813641260407,1.54929278359692,1.63332744182963,-0.335271620382797,2.01090769365921,2.52446011090046,1.49578753311823,1.6415970417323,-2.96350123630547,-0.211757731098603,0.805718076716382,2.9658001413194,-2.65538481582369,0.0523368059523703,1.15225082799776,2.76435206022203,-2.78173547240154,0.222831607751417,1.00567742953252,3.04769287390098,-1.93145319018351,-0.393797410410154,0.354539290934048,2.33109443461028,-2.28357846698573,0.488445327579576,1.39758956176484,2.44225224555614,-2.37461949968666,0.651148627947978,1.33391919583399,2.62981988237039,-1.90950672709558,-0.271847883955409,0.539693583138193,2.6046110503764,-2.02018930699017,-0.935682226815061,-0.296494443392244,1.18165813736104,-2.65342948574814,-1.34332441466555,-0.707096964882378,0.831909351097136,-2.68880135808192,-0.113054989875977,0.681665024609498,2.32496595111074,-1.72247355058755,0.342753842628136,2.10110837693325,3.42133154835253,-1.35575841528189,0.0774609527871105,1.82269276519923,3.05866191321555,-1.60126590212155,-0.601742896063558,0.552550536395143,1.18774198632695,-1.98282547580055,-0.0817494320783834,1.46721620406362,2.6482131658224,-1.96937269652735,-0.313611676356127,1.94650360827859,3.58273135902499,-1.62606806696261,-0.877411240427899,0.231044308516242,1.88494680892782,-1.84378247392036,-0.884245519851943,1.28575595120714,2.08712319991282,-5928.42796688547
