"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_semaf","b_CamFD","b_ZER","b_MtrP","b_Acc","b_Panel","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_usodisp","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","gamma_HORAS_TRABAJO","gamma_HPICO","gamma_CONG_CD","gamma_USOCINTURON","gamma_USODISPMOB","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","lambda1","lambda2","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4"
"asc_ruta2",-35.4702933691442,3.18323145620525,19.554136088118,-2.72848410531878,-15.9161572810262,-5.45696821063757,0.909494701772928,1.81898940354586,0,1.81898940354586,-3.18323145620525,23.6468622460961,2.72848410531878,8.18545231595635,251.475285040215,240.106601268053,11.3686837721616,4.09272615797818,0,1.36424205265939,5.45696821063757,10.4591890703887,15.4614099301398,6.82121026329696,0,0,0,0,0.454747350886464,0.454747350886464,0,0,-4.09272615797818,0,0,0,0,0.454747350886464,0,0,0.454747350886464,0,0,0,9.54969436861575,-13.6424205265939,0.454747350886464,0.454747350886464,0,0.454747350886464,0,0,0.454747350886464,0,0.454747350886464,0,0,0,0.454747350886464,0,0.454747350886464,0,0,0.454747350886464,0,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0,0.454747350886464,0,0.454747350886464
"asc_ruta3",3.18323145620525,-19.0993887372315,9.54969436861575,-35.0155460182577,-9.54969436861575,-21.8278728425503,-4.09272615797818,0,-4.09272615797818,0.454747350886464,-1.81898940354586,11.8234311230481,-2.27373675443232,3.63797880709171,124.600774142891,119.143805932254,5.45696821063757,2.27373675443232,0,0.454747350886464,2.72848410531878,5.00222085975111,7.27595761418343,3.63797880709171,0,0,0,0,0,0.454747350886464,0,0,-2.27373675443232,0,0,0,0,0.454747350886464,0,0,0.454747350886464,0,0,0,5.00222085975111,-6.82121026329696,0,0,0,0.454747350886464,0,0,0,0,0,0,0,0,0,0,0.454747350886464,0,0,0,0,0.454747350886464,0.454747350886464,0,0.454747350886464,0.454747350886464,0,0,0,0.454747350886464
"asc_rutaEC",19.554136088118,9.54969436861575,-79.1260390542448,-146.428646985441,34.1060513164848,25.465851649642,5.91171556152403,9.54969436861575,3.18323145620525,0.454747350886464,10.9139364212751,-93.6779542826116,-11.8234311230481,-29.5585778076202,-1039.55244412646,-990.439730230719,-46.3842297904193,-15.0066625792533,0,-5.45696821063757,-21.8278728425503,-41.8367562815547,-62.3003870714456,-26.8300937023014,0,0,0,0,0,0,0.454747350886464,-0.454747350886464,20.4636307898909,1.81898940354586,0.454747350886464,0.909494701772928,1.36424205265939,0.454747350886464,0,0,0.454747350886464,0.454747350886464,0,0.454747350886464,-40.0177668780088,54.1149347554892,0,0,0,0.454747350886464,0,0,0,0,0,0,0,0,0,0,0,0,0.454747350886464,0.454747350886464,0,0.454747350886464,0.454747350886464,0,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0,0.454747350886464
"b_time",-2.72848410531878,-35.0155460182577,-146.428646985441,-3023.16038869321,-113.686837721616,-165.073288371786,-39.1082721762359,-90.9494701772928,-15.9161572810262,-2.72848410531878,20.9183781407773,-180.07995095104,-305.590219795704,-89.130480773747,-2140.49578062259,-1970.42027139105,-75.0333128962666,-28.1943357549608,0,-4.09272615797818,-15.9161572810262,-94.5874489843845,-132.331479107961,-22.2826201934367,0,0,0,0,-0.454747350886464,-3.18323145620525,1.36424205265939,-2.27373675443232,65.0288711767644,4.09272615797818,1.36424205265939,4.54747350886464,-0.454747350886464,0.454747350886464,0,0,0.454747350886464,0.454747350886464,0,0.454747350886464,-91.4042175281793,105.956132756546,0,0,0,0.454747350886464,0,0,0,0,0,0,0,0,0,0,0,0,0.454747350886464,0.454747350886464,0,0.454747350886464,0.454747350886464,0,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464
"b_dist",-15.9161572810262,-9.54969436861575,34.1060513164848,-113.686837721616,-112.322595668957,-291.94779926911,-11.8234311230481,-7.27595761418343,-5.45696821063757,-1.36424205265939,-9.54969436861575,43.2009983342141,-6.82121026329696,9.54969436861575,462.93280320242,433.828972745687,23.1921148952097,5.00222085975111,0,2.72848410531878,13.6424205265939,16.3709046319127,25.465851649642,15.4614099301398,0,0,0,0,0,0,-0.454747350886464,0,-1.81898940354586,-0.454747350886464,-0.454747350886464,0,-0.909494701772928,0,0,0,0,0,0,-0.454747350886464,13.6424205265939,-22.7373675443232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.454747350886464,0,0,0,0,0,0,0,0,0,0,0
"b_semaf",-5.45696821063757,-21.8278728425503,25.465851649642,-165.073288371786,-291.94779926911,-87901.7534316517,-16329.0678756312,-89.130480773747,-148.702383739874,-132.786226458848,-16.8256519827992,85.4925019666553,-63.2098817732185,-4.09272615797818,38.6535248253495,265.117705566809,-28.6490831058472,-3.18323145620525,0,3.18323145620525,-6.3664629124105,26.3753463514149,16.8256519827992,-10.0044417195022,0,0,0,0,-0.454747350886464,-0.454747350886464,-1.36424205265939,-0.454747350886464,-29.1038304567337,0.454747350886464,0,-1.81898940354586,0,0.909494701772928,0,0,0,-0.454747350886464,0,0,-26.3753463514149,-122.327037388459,0.454747350886464,0,0,0.454747350886464,0.454747350886464,0,0,0,0,0,0,0,0.454747350886464,0,0.454747350886464,0,-0.454747350886464,0.454747350886464,0,0.454747350886464,0.454747350886464,0,0.454747350886464,0.454747350886464,-0.909494701772928,0.454747350886464,0,0.454747350886464
"b_CamFD",0.909494701772928,-4.09272615797818,5.91171556152403,-39.1082721762359,-11.8234311230481,-16329.0678756312,-16242.2111316118,-8.64019966684282,-12.732925824821,-3.18323145620525,-5.00222085975111,10.0044417195022,-19.554136088118,7.27595761418343,358.79565984942,67.7573552820832,-7.27595761418343,0.909494701772928,0,2.72848410531878,3.18323145620525,-1.81898940354586,0.454747350886464,-6.82121026329696,0,0,0,0,0,0.454747350886464,0.454747350886464,0.454747350886464,14.0971678774804,0.909494701772928,1.81898940354586,1.36424205265939,0.909494701772928,0.454747350886464,0,0,0,0,0,0,-10.0044417195022,-34.5607986673713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454747350886464,0.454747350886464,0,0.454747350886464,0.454747350886464,0,0,0,0
"b_ZER",1.81898940354586,0,9.54969436861575,-90.9494701772928,-7.27595761418343,-89.130480773747,-8.64019966684282,-240.106601268053,4.09272615797818,0.909494701772928,2.27373675443232,10.0044417195022,-13.1876731757075,0,92.7684595808387,111.413100967184,9.54969436861575,4.09272615797818,0,1.36424205265939,0.909494701772928,6.82121026329696,7.27595761418343,6.82121026329696,0,0,0,0,0.909494701772928,1.36424205265939,0.454747350886464,0.454747350886464,-4.09272615797818,0,0,0,0,0.454747350886464,0,0,0.454747350886464,0.454747350886464,0.454747350886464,0,9.54969436861575,4.09272615797818,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0,0.454747350886464,0,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0,0,0.454747350886464,0,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464
"b_MtrP",0,-4.09272615797818,3.18323145620525,-15.9161572810262,-5.45696821063757,-148.702383739874,-12.732925824821,4.09272615797818,-56.3886715099216,0,-3.63797880709171,6.3664629124105,-0.454747350886464,3.63797880709171,78.2165443524718,39.1082721762359,1.81898940354586,2.27373675443232,0,-1.36424205265939,3.18323145620525,0.454747350886464,-0.454747350886464,0.909494701772928,0,0,0,0,0,0.454747350886464,0.454747350886464,0.454747350886464,-3.18323145620525,-0.909494701772928,-0.454747350886464,-0.454747350886464,-0.454747350886464,0,0,0,0,0,0,0,4.09272615797818,-0.454747350886464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b_Acc",1.81898940354586,0.454747350886464,0.454747350886464,-2.72848410531878,-1.36424205265939,-132.786226458848,-3.18323145620525,0.909494701772928,0,-16.3709046319127,0.454747350886464,0.909494701772928,2.72848410531878,0.909494701772928,5.00222085975111,-0.454747350886464,-0.454747350886464,0.454747350886464,0,0.454747350886464,1.36424205265939,0,0.909494701772928,1.36424205265939,0,0,0,0,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0,0,0,0.454747350886464,0.454747350886464,0,0,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,4.09272615797818,2.27373675443232,0.454747350886464,0.454747350886464,0,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0,0.454747350886464,0,0,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0,0,0.454747350886464,0,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464
