"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_semaf","b_CamFD","b_ZER","b_MtrP","b_Acc","b_Panel","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60"
"asc_ruta2",1,0.318179560716424,0.146724398607417,-0.260906065439352,-0.143187211612464,-0.0697959433890585,0.0618197857647296,0.134537505099654,-0.00657685776692011,0.127571576817295,-0.0553793666518598,-0.130902291329784,0.0835779942013877,-0.00980620083415361,0.0453327292441125,0.0096405305378529,0.00519929408163848,-0.0555244932000741,-0.0324929369011732,-0.0948840027682842,-0.102022096031357
"asc_ruta3",0.318179560716424,1,0.13245622919613,-0.523678730469487,0.0439570503199578,0.0441558534452819,-0.0203870830447473,0.0697979852340011,-0.142701915985751,-0.0995928143642079,-0.0254021247064729,-0.0838993557837264,0.0052701021469512,-0.0299427202900415,-0.0290894823853632,0.0368910969809617,0.0244028163200088,0.0211856975235407,-0.0548294591944811,-0.123156333326301,-0.11698149044734
"asc_rutaEC",0.146724398607417,0.13245622919613,1,-0.0166199980411427,-0.0461279026627236,0.0209233370939455,-0.0589792970825025,0.163849700298731,-0.0707433094481194,0.0124412228270627,0.00591281116833557,-0.389591361497627,-0.112517393272083,-0.0211345952416611,-0.203525706035196,-0.753993258486203,-0.0221050510320302,-0.230216299491949,-0.288482894230422,-0.326840080006174,-0.322858128212763
"b_time",-0.260906065439352,-0.523678730469487,-0.0166199980411418,1,-0.334255286193127,0.054772467450305,-0.0600089170664708,-0.140262339354992,-0.0466595547965065,0.166677728184427,0.021409475079181,0.0174125542308042,-0.348065648405513,0.0285454657339633,0.0697136978176159,-0.155668256685021,-0.0380088550855798,-0.0251001063570216,0.0661934100494872,0.0858533962015749,0.0408625850478735
"b_dist",-0.143187211612465,0.0439570503199575,-0.0461279026627231,-0.334255286193128,1,-0.241004544419249,0.190090077105912,-0.0868374472850454,0.15802338599944,-0.105756646989516,0.0618256567773518,0.102552511590828,-0.0077145040939092,-0.0781044563205661,0.0390218512354938,0.0767198046784035,0.0194253188127409,-0.0623711118024896,0.0266505036143308,0.117721677702398,0.0813911730915781
"b_semaf",-0.0697959433890584,0.044155853445282,0.020923337093948,0.0547724674503051,-0.241004544419249,1,-0.768734955646399,-0.0140852264627577,-0.200698939553795,-0.446240660034543,0.10123397682504,0.264971226810483,-0.108108442975556,-0.147879170619668,-0.222592265805449,-0.00518192557123455,-0.169550989146186,-0.108914535365207,-0.107592960216592,-0.201827427989747,-0.059556663234872
"b_CamFD",0.0618197857647297,-0.0203870830447473,-0.0589792970825033,-0.060008917066471,0.190090077105912,-0.768734955646399,1,-0.0179130011951264,0.173719654184771,0.324610251720001,-0.0712148660660691,-0.169425552356009,0.0163218902123348,0.175347718406015,0.269786705431596,0.0238556549639379,0.0469688924331602,0.087234702404978,0.0885734493974618,0.165470773097032,0.0227488994574774
"b_ZER",0.134537505099654,0.0697979852340011,0.163849700298731,-0.140262339354992,-0.0868374472850453,-0.0140852264627577,-0.0179130011951264,1,0.00333608553778342,0.0385979593941964,-0.0308333904652679,-0.115979289455158,0.0472522085908098,-0.0230389966878726,-0.0232536336344879,-0.105000504902517,0.032215950262352,-0.00401581804547288,0.0486102974091819,-0.0593294988703716,0.0519095216866688
"b_MtrP",-0.00657685776692018,-0.142701915985751,-0.0707433094481192,-0.0466595547965065,0.15802338599944,-0.200698939553795,0.173719654184771,0.00333608553778338,1,0.0901046078452365,-0.0534669744855985,0.0725339925773707,0.0245945358454853,0.0615406127544239,0.130501908909999,-0.00869548725879453,0.0140070081534513,0.0910245970159722,-0.015327176806939,0.116880275302232,0.0214394187610171
"b_Acc",0.127571576817295,-0.099592814364208,0.0124412228270627,0.166677728184427,-0.105756646989516,-0.446240660034543,0.324610251720001,0.0385979593941964,0.0901046078452365,1,-0.0725531865651993,-0.0660918937211297,0.106008515932297,0.0647249741795937,0.119578241951586,-0.103905444245971,-0.00962385914628433,0.0994323994916242,0.113868072570872,0.157905797021726,0.1250876551834
"b_Panel",-0.0553793666518599,-0.0254021247064729,0.00591281116833545,0.021409475079181,0.0618256567773518,0.10123397682504,-0.071214866066069,-0.0308333904652679,-0.0534669744855985,-0.0725531865651993,1,-0.0247066422478761,-0.0660264549849542,0.0122180915619829,0.041666168786231,0.0466649157602699,-0.0103851365351072,-0.100887743424057,-0.0339018493537824,-0.0177715802003507,-0.038735543519091
"b_clima",-0.130902291329784,-0.0838993557837268,-0.389591361497622,0.0174125542308049,0.102552511590828,0.264971226810483,-0.169425552356009,-0.115979289455158,0.0725339925773707,-0.0660918937211299,-0.0247066422478762,1,0.0319066033089891,-0.0518687150226437,-0.0465030631171465,0.0300770547996086,-0.179517393208128,-0.00868337991760374,-0.0349335539452582,-0.0750479624613897,-0.0239060779388919
"b_cong",0.0835779942013877,0.00527010214695107,-0.112517393272081,-0.348065648405513,-0.00771450409390927,-0.108108442975556,0.0163218902123347,0.0472522085908098,0.0245945358454855,0.106008515932297,-0.0660264549849542,0.0319066033089895,1,-0.0763191625211222,-0.0369713656635734,0.0455735425523126,0.091340690522594,0.131802085491356,0.0944538495856778,0.138215874060916,0.154741902625848
"b_Hvalle",-0.00980620083415359,-0.0299427202900414,-0.0211345952416621,0.0285454657339629,-0.078104456320566,-0.147879170619668,0.175347718406015,-0.0230389966878726,0.0615406127544238,0.0647249741795937,0.0122180915619829,-0.0518687150226437,-0.0763191625211224,1,0.0281526544526662,-0.115447644727972,0.0644353166901363,0.058532723348843,-0.0849706203677874,0.0297423690638577,0.0107562151650885
"b_T_prof",0.0453327292441126,-0.0290894823853632,-0.203525706035196,0.0697136978176161,0.0390218512354931,-0.222592265805449,0.269786705431596,-0.023253633634488,0.130501908909999,0.119578241951586,0.041666168786231,-0.046503063117147,-0.0369713656635735,0.0281526544526663,1,-0.0786047082854334,-0.0903834815955751,0.017717381142797,0.340658282660007,0.329351092031158,0.168809338753524
"b_Hor_trab",0.00964053053785277,0.0368910969809619,-0.753993258486193,-0.155668256685018,0.0767198046784023,-0.00518192557123284,0.0238556549639378,-0.105000504902517,-0.0086954872587945,-0.103905444245972,0.0466649157602696,0.0300770547996066,0.0455735425523139,-0.115447644727972,-0.0786047082854337,1,-0.0638183209162733,0.119830510622743,-0.0109864788706624,-0.0586502741521441,-0.0842202465914633
"b_EduBasica",0.00519929408163847,0.0244028163200087,-0.0221050510320313,-0.0380088550855799,0.0194253188127412,-0.169550989146186,0.04696889243316,0.032215950262352,0.0140070081534514,-0.00962385914628428,-0.0103851365351073,-0.179517393208129,0.0913406905225941,0.0644353166901364,-0.0903834815955746,-0.0638183209162735,1,0.0727497037995527,0.0185735811250515,-0.053728703607529,0.00468393507110156
"b_Info_traf",-0.0555244932000739,0.0211856975235408,-0.230216299491949,-0.0251001063570214,-0.0623711118024894,-0.108914535365206,0.087234702404978,-0.00401581804547282,0.0910245970159723,0.0994323994916242,-0.100887743424057,-0.00868337991760316,0.131802085491357,0.0585327233488424,0.0177173811427972,0.119830510622744,0.0727497037995519,1,-0.0129851513420925,0.117612681815131,0.127213116815073
"b_Joven30",-0.032492936901173,-0.0548294591944809,-0.288482894230419,0.0661934100494875,0.0266505036143303,-0.10759296021659,0.0885734493974613,0.0486102974091819,-0.015327176806939,0.113868072570872,-0.0339018493537824,-0.034933553945258,0.0944538495856777,-0.0849706203677868,0.340658282660006,-0.0109864788706636,0.0185735811250505,-0.0129851513420932,1,0.547564383685451,0.553921670822392
"b_Adulto40",-0.0948840027682845,-0.123156333326301,-0.326840080006176,0.0858533962015754,0.117721677702398,-0.201827427989746,0.165470773097032,-0.0593294988703717,0.116880275302232,0.157905797021726,-0.0177715802003512,-0.075047962461391,0.138215874060917,0.0297423690638583,0.32935109203116,-0.058650274152143,-0.0537287036075288,0.117612681815132,0.547564383685454,1,0.754171650068296
"b_Adulto60",-0.102022096031357,-0.11698149044734,-0.32285812821276,0.0408625850478742,0.0813911730915776,-0.0595566632348714,0.0227488994574775,0.0519095216866687,0.0214394187610174,0.125087655183401,-0.0387355435190915,-0.0239060779388924,0.154741902625848,0.0107562151650895,0.168809338753525,-0.0842202465914673,0.00468393507110128,0.127213116815074,0.553921670822395,0.754171650068295,1
