"asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_semaf","b_CamFD","b_ZER","b_MtrP","b_Acc","b_Panel","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_usodisp","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.158,0.144,0.205,-0.233,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2806.42641963561
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.158,0.144,0.205,-0.233,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2806.42641963561
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.158,0.144,0.205,-0.233,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2806.42641963561
-2.67573215533048e-05,-3.7509321467951e-05,5.46719646081329e-05,0.000207281819544733,-2.48522392939776e-05,-0.00750198015477509,-0.00743467184528709,-0.00760104876826518,-0.00775010255444795,-0.00776028524897993,2.55904574878514e-05,6.53025878127665e-05,3.63142129499465e-05,2.24199290387333e-05,0.00071677713515237,0.000695172437932343,3.07943641673774e-05,1.07934949919581e-05,0,1.87318096868694e-06,1.56269622966647e-05,2.76328560430557e-05,4.39263514708728e-05,1.59495915286243e-05,0.999955593774794,0.15792227793741,0.143891452784883,0.204984417950036,-0.233107829479268,1.00005002312036,1.00004635060532,1.00005012950348,1.00001099715591,-2.00001857811399,-0.999919852415798,0.99997706914437,2.00001755683171,-2.00002238263143,-0.999910659656161,0.999987227171427,2.00001069626375,-2.00002437025332,-0.99990337010636,0.999982727043564,2.00001459817588,-2.00003210627171,-0.999948954806197,0.999950390589423,2.00002937307232,-2797.16408344067
-0.00320535038600431,-0.00406767055485649,0.00660403700718612,0.0121558096617134,-0.00750173273898984,0.0314926311605448,0.0274100611248005,-0.032517748766103,-0.0327633191505347,-0.0332443471045885,-0.00178102181146282,0.0079043924081833,0.00223772968546432,0.00275119025442943,0.0852439206606669,0.0839439450962893,0.00372142123846541,0.00131440625574711,0,0.000209038189003904,0.00188556239370593,0.00333634810120517,0.00532372965318042,0.00195187778252381,0.994428731886886,0.148088829505087,0.130144481128736,0.203009657906125,-0.246760967588934,1.00636011081274,1.00589163527698,1.00637210682932,1.00137261582271,-2.00236701825291,-0.989876958012788,0.997091741857956,2.00221904041157,-2.00284926047129,-0.988714698789218,0.998379173396209,2.00135034972528,-2.00310062091923,-0.987789376054414,0.997809545303866,2.00184305337657,-2.00407415200974,-0.993558775525091,0.993713010495709,2.00371158546889,-2723.26842907767
-0.0116287411092562,-0.0186377424994403,0.0141515680779009,0.0117734515494058,-0.033653636236309,-0.0793793803724404,0.138671190770037,-0.0310531633331591,-0.0314351022428934,-0.034773555947548,-0.00756167594709303,0.0172429325707115,0.00567351325539624,0.00651798295336431,0.0703618655552538,0.176912928616923,0.00653594333105354,0.00316070296681431,0,8.41480302970113e-05,0.00579052651704524,0.00531119678794914,0.0118833702543574,0.00329072388036779,0.98087076484948,0.0852690959929328,0.0429801031596121,0.18963507638825,-0.333161873337229,1.04292667567887,1.0405869886581,1.04423417497396,1.00536776358861,-2.01718591710326,-0.935304563946128,0.980357350025104,2.0142421711063,-2.02031483752897,-0.927895881922624,0.988944987839046,2.00866024345167,-2.02200478980841,-0.921815380208983,0.985241899253189,2.01187785972443,-2.02788843933715,-0.959486863237191,0.957855987986324,2.02370805551335,-2637.66685884967
-0.032821943458708,-0.0585939765494289,0.0224786097348318,0.00826230964852728,-0.103311779716244,-0.0902633946376208,0.420688499236513,-0.119334885114643,-0.12176401961864,-0.135728802709198,-0.0219043395267608,0.0279687089667491,0.0178872543476652,0.0122344931023358,-0.117097917209852,0.270976153025544,0.00675640035720415,0.0062953231022263,0,-0.00208683006110976,0.0130042864839612,0.00455058038203267,0.0203958453994379,0.00170572454038876,0.959348355204674,-0.107752005096675,-0.225315937975728,0.148735317939313,-0.599208073746808,1.15529765468544,1.14777799446848,1.16159446741958,1.01204565567363,-2.06425088392264,-0.769084911086211,0.927901587798042,2.05143956212869,-2.07500281874807,-0.742822310944403,0.959263366289005,2.03134076825277,-2.08097671512448,-0.721001315832088,0.945804828656445,2.04305222332126,-2.10244786695403,-0.856617419811102,0.846174947183482,2.08458912115846,-2453.4897480185
-0.0503380814494551,-0.0940186125020798,0.0231386858800143,0.0109183750717011,-0.164013601671293,-0.089930692542046,0.512305517568534,0.0543732239010234,-0.248563648678846,-0.273540405170776,-0.0345857990197017,0.0292101642769779,0.0337507301872764,0.014961265323325,-0.143986843646899,0.258820877634858,0.00362925429005159,0.00754916469002415,0,-0.00679103360879862,0.0150170512667689,0.00317610156652509,0.0227438809235527,-0.00396897103445111,0.942245825534185,-0.266335536556125,-0.447236010988696,0.116041797451749,-0.818867123152331,1.25555761403672,1.2447534945008,1.2685378173259,1.00673284950332,-2.10962411528539,-0.622974406371535,0.877944388821656,2.08564118917973,-2.12590367553006,-0.580639295634517,0.930783645665934,2.0524412634076,-2.13552350826489,-0.544671971010136,0.908113801772056,2.07212405990298,-2.17175811862361,-0.768433655241458,0.742040081349071,2.13780707583791,-2286.84980393712
-0.0888800123623883,-0.176675264417897,0.00486658868695023,-0.00352095394085795,-0.309505857288946,-0.0901596510468465,0.404869829163444,-0.0589786983592115,-0.117961685359485,-0.183686485895158,-0.0620592046858078,0.00577911527417602,0.0805398478362362,0.0122408916308624,0.156033254722342,-0.0513029647772035,-0.0125040093998057,0.00577466837687503,0,-0.0263893512136086,0.00732353626148478,-0.00173038281208686,0.0120617906959927,-0.0302000037138513,0.880927304600765,-0.492857575773335,-0.773260512805959,0.0752068909076541,-1.13976443724314,1.45611256761519,1.447539636821,1.49772057557989,0.922367240089958,-2.23779391801677,-0.314702927178319,0.74915121046684,2.16702712919585,-2.26000275130301,-0.240461253123702,0.856487376758099,2.10425408570803,-2.27860274741572,-0.170893699024605,0.810188354011486,2.14390870772116,-2.34125835532626,-0.59782343020127,0.486883479751456,2.24908145334481,-2207.63724059214
-0.136353129867991,-0.262504737000337,0.0185441502712659,0.0898968190911494,-0.453526905966934,-0.00527102144783499,0.10541301393193,-0.0596728849148427,0.019326260751779,-0.101414688721326,-0.0886132668676713,0.0187686219039682,0.120392155956915,0.0225715188429139,0.0959375018167759,0.0695013112135896,-0.0116738804361816,0.00831864956213172,0,-0.0380252416508412,0.0162898359914923,0.00256187981813947,0.0277311426686883,-0.0431012516056285,0.762221797065722,-0.51026708430004,-0.813506162947246,0.0826211895797037,-1.17522951471559,1.57551052171957,1.57671528958041,1.65119646453287,0.799561908279402,-2.37382419670801,-0.0779760594899064,0.629402098320331,2.23918807585746,-2.39671100046769,0.0203506607014562,0.787753749614958,2.15170259643373,-2.42580119306758,0.1221371114849,0.718090309948261,2.21006263295857,-2.48799908678642,-0.484925292286152,0.263128756993009,2.3348690093628,-2099.53281356703
-0.189949322083784,-0.370742361270532,0.0255470352609604,-0.137098952901437,-0.597589997365877,0.0191090003517843,0.0669377121655309,-0.0516024552825724,0.0414633828796907,-0.121379678121018,-0.11603371624432,0.0220411107384595,0.123595829392737,0.0272356649423641,0.0894582696086982,0.0854393053258371,-0.0118982892375675,0.0106643072437501,0,-0.0519623110561245,0.0223327286207829,0.00335904056860186,0.0362930166849495,-0.0590268742925154,0.663845762276596,-0.404676607621952,-0.688177424499913,0.117277797280547,-1.04647183975011,1.64064710113377,1.65035136545329,1.74691475760972,0.713382190352857,-2.52301003023635,0.119581405638754,0.523194403766918,2.31132379936438,-2.54578284920015,0.242373738607066,0.731628517176568,2.20049586233293,-2.58954887715489,0.380145202308325,0.636373598247914,2.2784151831984,-2.6092126274985,-0.41964272968919,0.0798270788776377,2.41220041828671,-2079.60989906038
-0.204953754258452,-0.400793625579637,0.0252370417381411,-0.113821422202574,-0.631718547475836,0.0118270753954143,0.0931175625932614,-0.0508584109595845,0.0385117053675057,-0.138208555531101,-0.123188494107265,0.0202183144066746,0.133389357075788,0.0288351095051412,0.0939368943544243,0.0619326147102905,-0.0136088127311947,0.0113828487078163,0,-0.0570437853997834,0.0223023898578086,0.00322348161379476,0.037317114967179,-0.0659824554273751,0.641825175218544,-0.364525685570174,-0.638979194021391,0.130040743399841,-0.996484894283197,1.65659470999143,1.66861101714024,1.77137195102681,0.696498753007834,-2.56692131284606,0.167671743680868,0.497864210037207,2.33260553795161,-2.58924830459565,0.298699568928889,0.719624618689875,2.21514792005005,-2.63774654090308,0.444971878459022,0.61904142570015,2.2989584824002,-2.64050443651543,-0.412127427781745,0.0368733580163149,2.43330845478994,-2053.67863973113
-0.382690545940825,-0.741126663016145,0.035706186022174,-0.0683748928138322,-0.94678990151986,0.00178001357901597,0.164208884944013,-0.0473639675180366,0.0863518536665704,-0.252683878487238,-0.186499015380244,0.0125179825850919,0.165988547956422,0.0476369249267511,0.100125990360457,-0.0371931244116064,-0.0231258388862093,0.0242115284520538,0,-0.112382413385879,0.0229642672648672,0.0104258137646043,0.0563276194971059,-0.141710811654635,0.271709909224368,-0.177673772032308,-0.438880182339499,0.210049488135917,-0.79135885177724,1.97907568996351,1.99324937410237,2.15721159412181,0.83622504707832,-2.97339926493446,0.283949734903683,0.601877965606564,2.57351271561455,-2.9842086311727,0.628838350434694,0.8366343327077,2.38726898822765,-3.08995282648171,0.430388821063004,1.12002379524006,2.53929526515279,-2.87891405070596,-0.711252527034105,-0.00809265838296755,2.64209904724592,-1960.97014506632
-0.700529787100697,-1.37520459424594,0.055718071759921,-0.00718326556856379,-1.23828932896784,0.00609234972855861,0.207446803079126,-0.0439598890073616,0.17044732698701,-0.389503759521345,-0.274101239257581,-0.00287806189692911,0.143721938698986,0.0915340100321582,0.104427845462322,-0.159872994874716,-0.0356553331381665,0.0655967577159539,0,-0.217027373561148,0.0161414526439525,0.0134290687661482,0.0751202924670979,-0.282347958721501,-0.334781197922415,0.0739806539939473,-0.165022754237547,0.308336079909869,-0.513856435459308,2.53367943292717,2.48111130025332,2.78395283312433,1.48459081321567,-3.62972190940248,0.273658281370558,0.92446520617761,3.01978848693711,-3.60504666505502,0.417435840927464,1.71636430723902,2.72164196512975,-3.84996065590889,0.885667403295411,1.43990822225623,3.04206182060354,-3.17492284318609,-0.985761778524335,-0.218938770197112,2.96497983638714,-1924.11003626723
-0.759696530734154,-1.52209150209937,0.0632451770842061,-0.0155945671918395,-1.04967212432547,0.00495661222996099,0.210214257069307,-0.042725495761935,0.184337686765043,-0.405306160640071,-0.262371088645052,-0.0180884976595287,0.14026400648045,0.10508311111344,0.103236012599895,-0.146589635887433,-0.0291964218478002,0.0909066982279412,0,-0.256351206668269,0.012262017874305,0.00955440925826118,0.0614713566237054,-0.316779424536169,-0.312892259278323,0.061815264289009,-0.165167420439321,0.284191046139012,-0.506235005232422,2.59014616370512,2.52454262555536,2.84477971151521,1.4577522989002,-3.75234184787927,0.182177817810909,0.9258522999363,3.15273649543858,-3.68378037902918,0.380432197974205,1.67973221179697,2.8955534660042,-3.97977131201794,0.930199273548843,1.37574518984939,3.22005499623716,-3.2557133521848,-1.15479517515524,-0.207586283653666,2.96592848491857,-1903.98865046822
