"...1"	"ViajeId"	"MUESTRA"	"VALIDAR"	"GENERO"	"TIEMPO_PROFESION"	"HORAS_TRABAJO"	"NIVEL_EDUCATIVO"	"EDAD"	"DISTAlt1"	"TIEMPOAlt1"	"CONG_A1"	"DISTAlt2"	"TIEMPOAlt2"	"CONG_A2"	"DISTAlt3"	"TIEMPOAlt3"	"CONG_A3"	"DISTEC"	"TIEMPOEC"	"Semaf_A1"	"Semaf_A2"	"Semaf_A3"	"Semaf_EC"	"CamFD_A1"	"CamFD_A2"	"CamFD_A3"	"CamFD_EC"	"ZER_A1"	"ZER_A2"	"ZER_A3"	"ZER_EC"	"MtrP_A1"	"MtrP_A2"	"MtrP_A3"	"MtrP_EC"	"Acc_EC"	"Acc_A1"	"Acc_A2"	"Acc_A3"	"Paneles_EC"	"Paneles_A1"	"Paneles_A2"	"Paneles_A3"	"INFOTRAFICO"	"CLIMA"	"CONGESTION"	"PAVIMENTO"	"INCIDENTE"	"MERIDIANO"	"HPICOHVALLE"	"COSTO"	"CHOICE"	"Experiencia"	"PasoPeaton"	"UsoPito"	"CinSeg"	"FRbr"	"UsoDirec"	"EnfCond"	"AFrSem"	"CulFr"	"OmLmVel"	"IgPare"	"UsoCel"	"ComVrb"	"Ans"	"ComAfec"	"PrPer"	"AmbTr"	"StrC"	"ConCl"	"DispMob"	"JOVEN30"	"ADULTO40"	"ADULTO60"	"ADULTOMAYOR"	"EDUBASICA"	"EDUSUP"	"EDUNR"	"HPICO"	"HVALLE"	"CSECO"	"CLLUVIA"	"CONG_AB_A1"	"CONG_CD_A1"	"CONG_EF_A1"	"CONG_AB_A2"	"CONG_CD_A2"	"CONG_EF_A2"	"CONG_AB_A3"	"CONG_CD_A3"	"CONG_EF_A3"	"CONG_AB_EC"	"CONG_CD_EC"	"CONG_EF_EC"	"SININFOTRF"	"CONINFOTRF"	"USOCINTURON"	"NOUSOCINTURON"	"USODISPMOB"	"NOUSODISPMOB"	"NO_MTRP_A1"	"NO_MTRP_A2"	"NO_MTRP_A3"	"NO_MTRP_EC"	"SI_MTRP_A1"	"SI_MTRP_A2"	"SI_MTRP_A3"	"SI_MTRP_EC"	"NO_ZER_A1"	"NO_ZER_A2"	"NO_ZER_A3"	"NO_ZER_EC"	"SI_ZER_A1"	"SI_ZER_A2"	"SI_ZER_A3"	"SI_ZER_EC"	"HTRB_1"	"HTRB_2"	"HTRB_3"	"SEMF_A1_1"	"SEMF_A1_2"	"SEMF_A1_3"	"SEMF_A2_1"	"SEMF_A2_2"	"SEMF_A2_3"	"SEMF_A3_1"	"SEMF_A3_2"	"SEMF_A3_3"	"SEMF_EC_1"	"SEMF_EC_2"	"SEMF_EC_3"	"NO_CAMFD_A1"	"SI_CAMFD_A1"	"NO_CAMFD_A2"	"SI_CAMFD_A2"	"NO_CAMFD_A3"	"SI_CAMFD_A3"	"NO_CAMFD_EC"	"SI_CAMFD_EC"	"ACC_A1_0"	"ACC_A1_1"	"ACC_A1_2"	"ACC_A2_0"	"ACC_A2_1"	"ACC_A2_2"	"ACC_A3_0"	"ACC_A3_1"	"ACC_A3_2"	"ACC_EC_0"	"ACC_EC_1"	"ACC_EC_2"	"NO_PANEL_A1"	"SI_PANEL_A1"	"NO_PANEL_A2"	"SI_PANEL_A2"	"NO_PANEL_A3"	"SI_PANEL_A3"	"NO_PANEL_EC"	"SI_PANEL_EC"	"EXP_1"	"EXP_2"	"EXP_3"	"EXP_4"	"EXP_5"	"SEM_A1_km"	"SEM_A2_km"	"SEM_A3_km"	"SEM_EC_km"	"Panel_A1_km"	"Panel_A2_km"	"Panel_A3_km"	"Panel_EC_km"	"ZER_A1_km"	"ZER_A2_km"	"ZER_A3_km"	"ZER_EC_km"	"T_Alt_1"	"T_Alt_2"	"T_Alt_3"	"T_Alt_4"	"D_Alt_1"	"D_Alt_2"	"D_Alt_3"	"D_Alt_4"	"Vel_fl_Alt1"	"Vel_fl_Alt2"	"Vel_fl_Alt3"	"Vel_fl_Alt4"	"T_fl_Alt1"	"T_fl_Alt2"	"T_fl_Alt3"	"T_fl_Alt4"	"CG_Alt_1"	"CG_Alt_2"	"CG_Alt_3"	"CG_Alt_4"	"UsoCel_Poco"	"UsoCel_Frec"
"1"	"1"	"{00793F3F-F1CC-E811-914C-74867AD5B714}"	0	1	1	10	14	1	4	10.1	24	2	11.1	27	3	8.4	30	3	7.73476294124306	22.1199999968211	21	20	21	18	3	2	5	5	0	0	1	0	2	2	1	1	0	0	0	0	0	2	0	0	1	2	2	1	1	2	1	14800	3	4	5	2	1	2	4	2	2	2	2	2	4	1	3	2	2	2	3	1	3	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	2.07920792079208	1.8018018018018	2.5	2.32715600164305	0.198019801980198	0	0	0	0	0	0.119047619047619	0	0.448529411925834	0.724264705962917	1	0.275735294037083	0.711419454702841	1	0.480555018465115	0.0288580545297158	0.466666666666667	0.466666666666667	0.466666666666667	0.466666666666667	21.6428571428571	23.7857142857143	18	16.5744920169494	1.10891089108911	1.13513513513514	1.66666666666667	1.33458087126898	0	1
"2"	"3"	"{01579974-02D2-E811-8FB7-74867AD5B714}"	0	1	1	10	12	4	2	5.8	18	3	5.4	20	3	6.7	25	3	4.6118611667335	19.8945500016212	14	17	12	12	2	0	2	1	0	0	1	1	2	2	2	0	0	0	0	1	0	0	0	2	1	1	2	1	1	1	2	9800	4	4	3	2	2	2	5	2	2	3	2	2	2	5	1	1	3	3	1	1	1	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	2.41379310344828	3.14814814814815	1.7910447761194	2.60198639251307	0	0	0.298507462686567	0	0	0	0.149253731343284	0.216832199376089	0.3	0.5	1	0.48945500016212	0.588691546296237	0.405887789094565	1.41130845370376	0.0457009393004179	0.366666666666667	0.366666666666667	0.366666666666667	0.366666666666667	15.8181818181818	14.7272727272727	18.2727272727273	12.5778031820005	1.13793103448276	1.35802469135802	1.3681592039801	1.58171897856467	0	1
"3"	"12"	"{071F74A3-0FD2-E811-8FB7-74867AD5B714}"	0	1	1	7	12	1	3	3.4	10	3	4.2	12	2	3.9	14	3	2.76399721459216	7.22566666603088	11	13	13	11	2	3	2	2	3	6	6	0	1	2	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	2	7300	1	3	4	1	2	1	1	1	1	1	1	1	2	5	2	2	2	3	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1	0	0	3.23529411764706	3.09523809523809	3.33333333333333	3.97974351852706	0	0.238095238095238	0.256410256410256	0	0.882352941176471	1.42857142857143	1.53846153846154	0	0.590764928580996	0.795382464290498	1	0.306926303564253	0.479167611152747	1	1.39062429163544	0.0651040486059067	0.366666666666667	0.366666666666667	0.366666666666667	0.366666666666667	9.27272727272727	11.4545454545455	10.6363636363636	7.53817422161498	1.07843137254902	1.04761904761905	1.31623931623932	0.958543336039114	0	1
"4"	"14"	"{09CAC4F7-D8D2-E811-8FB7-74867AD5B714}"	0	1	1	18	12	4	3	2.4	8	2	2.4	8	1	2.6	9	2	2.46359452833276	8.91083333492279	5	5	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	6600	2	5	3	2	2	2	5	2	2	2	2	2	2	3	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	2.08333333333333	2.08333333333333	1.92307692307692	2.02955475931494	0	0	0	0	0	0	0	0	0.75	0.75	1	0.977708333730698	0.333333333333333	0.333333333333333	4	0.545315094442533	0.366666666666667	0.366666666666667	0.366666666666667	0.366666666666667	6.54545454545455	6.54545454545455	7.09090909090909	6.71889416818025	1.22222222222222	1.22222222222222	1.26923076923077	1.32623510831935	0	1
"5"	"15"	"{0AFFFCBB-0AD2-E811-8FB7-74867AD5B714}"	0	1	1	10	14	1	3	5.4	14	2	5.5	14	2	5.6	16	2	5.30979527223473	20.4150666673978	10	15	16	15	2	3	4	3	3	4	2	4	1	1	2	1	1	0	0	0	1	0	1	1	2	1	2	1	1	1	2	11500	4	4	4	1	2	1	4	1	1	1	1	1	3	5	2	2	2	2	2	1	1	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	1	0	1.85185185185185	2.72727272727273	2.85714285714286	2.82496767407135	0	0.181818181818182	0.178571428571429	0.188331178271423	0.555555555555555	0.727272727272727	0.357142857142857	0.753324713085693	0.31863821106953	0.31863821106953	0.531063685115884	1	0.487448547470417	0.743724273735208	3.30648153638313	0.256275726264792	0.366666666666667	0.366666666666667	0.366666666666667	0.366666666666667	14.7272727272727	15	15.2727272727273	14.4812598333674	0.950617283950617	0.933333333333333	1.04761904761905	1.40975763865225	0	1
"6"	"16"	"{0B4811D4-93C6-E811-914C-74867AD5B714}"	0	1	1	10	16	2	2	7.3	19	3	8.1	20	3	6.8	20	3	6.60283796996291	20.5518833359083	18	27	21	22	4	1	5	4	0	0	0	0	2	2	2	2	0	0	0	0	0	1	1	1	1	1	4	1	1	2	2	12500	3	4	2	2	2	1	4	1	1	1	1	1	1	4	4	2	1	1	3	1	4	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	2.46575342465753	3.33333333333333	3.08823529411765	3.33190063122563	0.136986301369863	0.123456790123457	0.147058823529412	0	0	0	0	0	0.659067857986164	0.878757143981553	0.878757143981553	1	0.499111558530212	1	0.749555779265106	0.0626110551837232	0.366666666666667	0.366666666666667	0.366666666666667	0.366666666666667	19.9090909090909	22.0909090909091	18.5454545454545	18.0077399180807	0.954337899543379	0.905349794238683	1.07843137254902	1.14128055099647	1	0
"7"	"17"	"{0C1D8C2A-12E2-E811-8FB7-74867AD5B714}"	0	1	1	20	15	1	3	5.7	23	3	5.4	30	3	5.7	34	3	5.18778293730232	70.8360499978066	13	13	12	12	1	4	3	3	3	2	1	0	1	2	2	2	1	1	0	0	1	0	1	1	2	2	6	2	1	2	2	21500	3	5	1	3	2	1	3	3	1	4	1	1	1	4	4	4	2	1	5	2	2	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	2.28070175438596	2.40740740740741	2.10526315789474	2.31312684918157	0	0.185185185185185	0.175438596491228	0.19276057076513	0.526315789473684	0.37037037037037	0.175438596491228	0	0.059013239622855	0.19671079874285	0.27539511823999	1	1	0.509977721499501	2.4700668355015	0.163340759500166	0.366666666666667	0.366666666666667	0.366666666666667	0.366666666666667	15.5454545454545	14.7272727272727	15.5454545454545	14.1484989199154	1.47953216374269	2.03703703703704	2.18713450292398	5.00661239038565	1	0
"8"	"19"	"{0C97D2B2-DCD3-E811-8FB7-74867AD5B714}"	0	1	2	8	12	1	3	7.6	21	3	7	23	3	7.2	23	3	5.65309412435009	14.4128999988238	6	8	12	9	4	3	2	0	8	9	10	0	2	2	2	2	0	0	0	0	1	1	0	1	1	1	1	1	1	2	1	14000	4	3	4	1	2	1	1	1	1	1	1	1	3	5	3	1	1	1	3	1	3	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0.789473684210526	1.14285714285714	1.66666666666667	1.59204849627985	0.131578947368421	0	0.138888888888889	0.176894277364427	1.05263157894737	1.28571428571429	1.38888888888889	0	0.827394257424465	1	1	0.258908613863302	1	0.706874650594525	1.24427112450456	0.0488542249009124	0.466666666666667	0.466666666666667	0.466666666666667	0.466666666666667	16.2857142857143	15	15.4285714285714	12.1137731236073	1.28947368421053	1.53333333333333	1.49074074074074	1.18979444734159	0	1
"9"	"31"	"{14ECDC53-57E7-E811-8FB7-74867AD5B714}"	0	1	1	1	18	1	3	5.8	15	3	5.6	17	3	7.4	18	3	3.15650373100609	18.1158333301544	6	10	9	25	1	2	1	2	6	0	6	2	1	2	1	2	1	0	0	0	0	0	0	1	1	1	2	1	1	1	1	10900	4	1	4	1	1	1	2	1	1	1	1	1	2	5	4	2	1	3	5	1	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1.03448275862069	1.78571428571429	1.21621621621622	7.92015537774499	0	0	0.135135135135135	0	1.03448275862069	0	0.810810810810811	0.633612430219599	0.490530045220226	0.817550075367043	0.981060090440451	1	0.631633158885938	0.58558730374668	1.20720634812666	0.0230229275696289	0.466666666666667	0.466666666666667	0.466666666666667	0.466666666666667	12.4285714285714	12	15.8571428571429	6.76393656644162	1.20689655172414	1.41666666666667	1.13513513513514	2.67829734241355	0	1
"10"	"34"	"{160BB759-80CD-E811-914C-74867AD5B714}"	0	1	1	20	15	2	3	5.1	13	2	5.4	14	2	5.3	16	3	3.80938883249998	11.7963333328565	6	8	8	7	1	3	2	1	1	1	0	1	0	0	0	0	0	0	0	0	2	2	0	0	1	1	2	1	1	2	1	8600	1	5	3	2	1	2	5	2	2	3	2	2	3	2	1	1	1	3	1	1	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1.17647058823529	1.48148148148148	1.50943396226415	1.8375651076307	0.392156862745098	0	0	0.525018602180199	0.196078431372549	0.185185185185185	0	0.2625093010901	0.583545416713513	0.722363611142342	1	0.416454583286487	0.82254937991234	1	1.47320165356709	0.0591502066958864	0.466666666666667	0.466666666666667	0.466666666666667	0.466666666666667	10.9285714285714	11.5714285714286	11.3571428571429	8.16297606964281	1.18954248366013	1.20987654320988	1.40880503144654	1.44510203536254	0	1
