"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongAB_ruta1","b_CongCD_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC"
"asc_ruta1",3.6475244818844,1.41114607770907,3.13446094681628,-0.0176056530570049,-0.101802767104524,0.0833011705991641,0.0562998417559394,0.0846558014593057,0.0740955566681036,0.233789599457496,0.62267975414113,-0.102664961528575,-0.0926064473367249,-1.00605224394555,1.32027101382162,2.74242115397984,-0.368864879287981,-0.892833240476364,1.39879488347098,2.55283645008464,-0.241272458619956,-0.856142281849257,1.44718132602205,2.81364686783891,-0.25356651879364,-0.805316078999649,1.54081858950953,2.73318474858207,-0.0297838796566344
"asc_ruta2",1.41114607772172,0.652301094815881,1.3849327960146,-0.00864511386111613,-0.0443886358035404,0.0373321330103326,0.0339589656602477,0.0217759763562362,0.0184005292039368,0.0854535469282741,0.273833154746437,-0.0398100235658735,-0.032114432954741,-0.235525194277635,0.57474877934391,1.24317991325136,-0.155481543191211,-0.180470956679355,0.618389328358647,1.17269584909323,-0.0925276256014471,-0.16516606396459,0.661010685897051,1.26689221006652,-0.0990032822356459,-0.154669017858618,0.645097016123245,1.22753618994248,-0.011982872351837
"asc_rutaEC",3.1344609468163,1.38493279594725,3.36390841699245,-0.0282148092442497,-0.0794394486372726,0.085672444198446,0.0647042490287994,0.0623252380410927,0.0995209838328632,0.15803420837366,0.564630669737312,-0.197068404019607,-0.177206291525752,-0.586457165911446,1.2639219731551,2.71433981556865,-0.581875279685867,-0.451577514183032,1.35217177631635,2.56475090434409,-0.435731104360734,-0.412209394386483,1.4133349495906,2.81444892583001,-0.436057226097226,-0.344428819675551,1.49765659570354,2.67834517544061,-0.264109103434061
"b_tt",-0.0176056530570051,-0.00864511386016315,-0.02821480924425,0.00140800185615149,-0.00151004270284989,-0.001217706836801,-0.00159755437904624,0.0017734274551751,-0.00173361634281711,0.00710559966276836,0.00420138256603314,0.00536581425631292,0.00320649401730999,0.00645336993065458,-0.00527536679566985,-0.0197700167231808,0.00979505838513748,0.00335997193697742,-0.00683012662337848,-0.0210146271499882,0.00535787208598596,0.00323542771537629,-0.00856353104190727,-0.0260702461237399,0.00476788303926715,0.00215851362658427,-0.0104526767378936,-0.0240128489094174,0.00222402125423699
"b_dt",-0.101802767104523,-0.0443886358025314,-0.0794394486372715,-0.0015100427028499,0.0129604372099157,0.000472554283784785,-0.00040410856975994,-0.0124100839301841,-0.00202176904945565,-0.0188845023604202,-0.0170942439313374,-0.000755950421586858,0.000898473812396985,0.0137166677290498,-0.0397263458192048,-0.0981775521270733,-0.00414132401430534,0.0157151340968736,-0.0442410798292434,-0.0821742359415773,0.0014239938772105,0.0147009325670546,-0.0443188574611173,-0.0714242930237565,0.00466228422708825,0.0127996593537628,-0.0442707482793786,-0.0811414209656867,0.00163662226170957
"b_CongAB_ruta1",0.0833011705991654,0.0373321330088692,0.0856724441984466,-0.001217706836801,0.000472554283784753,0.226424521782657,0.0442418249393684,0.0796235839699253,0.0191949778800864,0.0594686985266932,0.028885815650829,0.0182973775621931,0.014874776347105,-0.0561578747889724,0.0453241481945075,0.0194996193265205,0.00923985974183163,-0.0355838032570363,0.0463617087625478,0.0771600598935604,-0.013793408748166,-0.0484148859723173,0.0359096495754153,0.0911665123025619,-0.019370918724958,-0.0246052807463336,0.0333887915717523,0.0822143895496943,0.00499150995966819
"b_CongCD_ruta1",0.0562998417559393,0.0339589656604857,0.0647042490287993,-0.00159755437904624,-0.000404108569759918,0.0442418249393684,0.0884384847422411,0.0150839093838326,0.0237397219154747,0.00630525427049253,0.0107348963747941,0.00299878316255083,0.00397850282763371,-0.038319032945698,0.000647861664315875,0.0851139405121301,-0.00608121098314756,-0.0262671560660028,0.0340625889029667,0.074503827600842,0.00966217144834692,-0.0241119643556964,0.0315231881060738,0.0822110252633508,0.00951498140514198,-0.0323214427165366,0.0293610720771996,0.0784343840758264,0.0126364792035994
"b_CongAB_ruta2",0.0846558014593057,0.0217759763593523,0.0623252380410919,0.00177342745517511,-0.0124100839301841,0.0796235839699253,0.0150839093838326,1.26681440730837,0.0614228049083521,0.132428283166468,0.0364483327363124,0.0149804575408317,0.0306514940926379,0.0333171833000232,-0.425288065430376,0.156987680569335,0.0850950842008869,0.00230590677603078,0.058297382042769,0.095802613189685,-0.00108655705847452,-0.00961383699836942,0.0102157352071136,0.0795153478016254,0.0031733421724101,-0.000117336705918373,0.0288565891681972,0.0529277083742394,0.00103214993672532
"b_CongCD_ruta2",0.074095556668104,0.0184005292067204,0.0995209838328629,-0.00173361634281711,-0.00202176904945565,0.0191949778800863,0.0237397219154747,0.0614228049083521,0.182996018860221,0.00733895471307625,0.00976583369531428,-0.0144883523058098,0.00175500376929465,-0.0140096193111344,-0.0573924366824839,0.0885564888821997,-0.0137791421156556,-0.0142171716553794,0.0056714290868728,0.0765040395002114,-0.0138578875107891,-0.000821487666317251,0.0107618338595361,0.0885920556210673,-0.00239526002860612,-0.000832882076462197,0.0331560122016959,0.0913882813565569,-0.0100604563142165
"b_CongAB_ruta3",0.233789599457498,0.0854535469433941,0.158034208373661,0.00710559966276837,-0.0188845023604202,0.0594686985266931,0.00630525427049252,0.132428283166468,0.00733895471307623,0.332026989267618,0.156933154738428,0.0233028029122883,0.0236413624622935,-0.00819458581968325,0.116089328588875,0.0108651571342939,0.0464777032179763,-0.0366459578119863,0.116082540787595,-0.0129136524436661,0.013341337957354,-0.05484662726409,0.0878601621573532,0.0999721077932166,-0.017504245853972,-0.0460968096479796,0.0818779048173031,0.0993888324894902,-0.0147747049299932
"b_CongCD_ruta3",0.62267975414113,0.273833154717467,0.56463066973731,0.00420138256603315,-0.0170942439313375,0.028885815650829,0.0107348963747942,0.0364483327363124,0.00976583369531429,0.156933154738427,0.380615563714001,0.0360371534490714,0.0264743394875513,-0.0454673674265911,0.292153061151734,0.503525827554639,-0.0260772701266588,-0.0511854936923539,0.305824369813545,0.374388233970189,-0.0163404567750626,-0.0562962567179894,0.282688933731719,0.50997916152953,-0.0411488213215572,-0.0625188657934963,0.283539763213237,0.397187554523071,-0.0356257649498957
"b_CongAB_rutaEC",-0.102664961528578,-0.0398100235473612,-0.197068404019609,0.00536581425631291,-0.000755950421586787,0.0182973775621932,0.00299878316255083,0.0149804575408317,-0.0144883523058098,0.0233028029122881,0.0360371534490711,0.16274216185011,0.125032540751085,0.0509592458030143,-0.0206924972760388,-0.0982278913494884,-0.00481466768053432,0.0477661780653399,-0.0175348287621854,-0.0886787710698209,-0.00685558288562852,0.0303217745839875,-0.0358474561714857,-0.0916367863652698,-0.00837076878245231,0.0207268568206421,-0.010451247526961,-0.0857013107323684,-0.00157980525862711
"b_CongCD_rutaEC",-0.0926064473367269,-0.0321144329454346,-0.177206291525754,0.00320649401730999,0.000898473812397047,0.0148747763471051,0.00397850282763374,0.0306514940926378,0.00175500376929463,0.0236413624622935,0.026474339487551,0.125032540751085,0.182186346080536,0.0482063926332089,-0.0231342009041601,-0.0657791733472347,-0.00225420530167505,0.0447639807208141,-0.012749356410367,-0.0555525925424685,0.00247920980642089,0.0392550686773117,-0.030144696271598,-0.0671579741872499,0.00187882311383332,0.0354408200956448,-0.00429243711697021,-0.0554646047716326,0.0123151598663234
"b_Sem_0_ruta1",-1.00605224394556,-0.235525194254582,-0.586457165911441,0.00645336993065456,0.0137166677290501,-0.0561578747889723,-0.0383190329456982,0.033317183300023,-0.0140096193111342,-0.00819458581968341,-0.0454673674265911,0.0509592458030143,0.0482063926332084,0.736959083913055,-0.181861630989114,-0.471779306301282,0.182120895512753,0.583737246029771,-0.210261308705393,-0.407956404011024,0.0972401978728819,0.562160620697572,-0.243205183771422,-0.481525357983047,0.0792988867065239,0.538903236163756,-0.265466152938164,-0.489978890015367,-0.0034132006542113
"b_Sem_0_ruta2",1.32027101386148,0.574751007992829,1.26392197313606,-0.00527536679514999,-0.0397263458185621,0.0453241481926168,0.00064786166356335,-0.425288065422967,-0.0573924366831748,0.116089328580485,0.292153061125179,-0.0206924972716218,-0.0231342009094846,-0.181861630998275,1.67829513058722,1.09419966740052,-0.0922050898248741,-0.148406811693326,0.639010254327984,1.06038212896576,-0.059867177486747,-0.159396425868564,0.609849754163575,1.16617111387307,-0.0846180136060431,-0.133930678127593,0.687137913534298,1.12108326252845,-0.0150035279876068
"b_Sem_0_ruta3",2.74242115397986,1.24317991310482,2.71433981556865,-0.0197700167231807,-0.0981775521270741,0.0194996193265199,0.08511394051213,0.156987680569335,0.0885564888822002,0.0108651571342944,0.503525827554641,-0.0982278913494874,-0.065779173347235,-0.471779306301284,1.09419966752552,3.45134922120289,-0.266691416120321,-0.312202434636311,1.23499125062777,2.33040108489141,-0.169239922922968,-0.316754245111941,1.26009138936835,2.48610283975243,-0.180710024660735,-0.284966285597518,1.33240863130436,2.44571668754999,-0.0285351915093858
"b_Sem_0_rutaEC",-0.368864879287986,-0.155481543142298,-0.581875279685865,0.00979505838513745,-0.00414132401430512,0.00923985974183183,-0.00608121098314759,0.0850950842008867,-0.0137791421156555,0.0464777032179761,-0.0260772701266598,-0.00481466768053369,-0.00225420530167536,0.182120895512755,-0.0922050898605623,-0.266691416120323,0.524525905650704,0.0846739905329675,-0.1211548926147,-0.287085235090987,0.285815329632052,0.0656831390268377,-0.163011753601664,-0.343772614368805,0.262675626419377,0.0367473613187219,-0.204109202728714,-0.311128887859765,0.232517798887754
"b_Sem_1_ruta1",-0.892833240476378,-0.180470956649907,-0.451577514183038,0.00335997193697742,0.0157151340968741,-0.0355838032570361,-0.0262671560660028,0.00230590677603057,-0.0142171716553792,-0.0366459578119868,-0.0511854936923554,0.0477661780653401,0.0447639807208138,0.583737246029773,-0.148406811692466,-0.312202434636318,0.0846739905329676,0.6145324894042,-0.158560895581311,-0.280826931721086,0.0644952910720447,0.543770574414771,-0.190492237847456,-0.353979359246487,0.0618226064996209,0.525598535612777,-0.208967689757424,-0.362332791716789,-0.0134425095305286
"b_Sem_1_ruta2",1.39879488359815,0.618391451636383,1.35217177642547,-0.00683012662357358,-0.0442410798304825,0.0463617087643332,0.0340625889044309,0.0582973820494286,0.00567142909274561,0.11608254078396,0.305824369800965,-0.0175348287654143,-0.0127493564225235,-0.210261308720238,0.639010359794865,1.23499125058459,-0.121154892616175,-0.158560895583253,0.749658556821939,1.14871155996662,-0.0744841216333404,-0.163393154297363,0.624381707179386,1.25691065722054,-0.0929755727571925,-0.148177790278472,0.707199768325093,1.20203768566645,-0.0212136943104953
"b_Sem_1_ruta3",2.55283645008467,1.17269584901475,2.56475090434412,-0.0210146271499881,-0.0821742359415787,0.0771600598935602,0.0745038276008423,0.0958026131896856,0.0765040395002117,-0.0129136524436666,0.374388233970194,-0.0886787710698204,-0.0555525925424689,-0.407956404011033,1.06038212902422,2.33040108489142,-0.287085235090993,-0.280826931721084,1.14871155994052,2.47111249873105,-0.170330104024722,-0.260838240154334,1.1922241472989,2.37675186684331,-0.162988545872723,-0.230158996138966,1.26932932737373,2.34903871753197,-0.0143746600471301
"b_Sem_1_rutaEC",-0.241272458619971,-0.0925276255574306,-0.435731104360748,0.005357872085986,0.00142399387721101,-0.0137934087481659,0.00966217144834686,-0.00108655705847489,-0.0138578875107893,0.0133413379573534,-0.0163404567750649,-0.00685558288562672,0.00247920980642167,0.0972401978728856,-0.0598671775168348,-0.169239922922979,0.285815329632057,0.064495291072046,-0.0744841216311676,-0.170330104024727,0.294118524275042,0.0525082447971033,-0.0990443308961573,-0.199193230363638,0.24487856540073,0.0209272393563622,-0.132838061027203,-0.171015500123024,0.225704175570935
"b_Sem_2_ruta1",-0.856142281849263,-0.165166063939347,-0.41220939438648,0.00323542771537624,0.0147009325670549,-0.0484148859723168,-0.0241119643556961,-0.00961383699836968,-0.000821487666316875,-0.0548466272640903,-0.05629625671799,0.0303217745839871,0.0392550686773109,0.562160620697571,-0.15939642586419,-0.316754245111943,0.0656831390268348,0.54377057441477,-0.163393154291904,-0.260838240154329,0.0525082447970999,0.585643158962303,-0.174626358952342,-0.340745254989674,0.0661993267224603,0.522633405997534,-0.200114960452985,-0.331405389031209,0.00105920072730457
"b_Sem_2_ruta2",1.44718132630412,0.661011502073476,1.41333494984319,-0.0085635310423878,-0.0443188574665925,0.0359096495788258,0.0315231881090709,0.0102157352183535,0.0107618338654592,0.0878601621759594,0.282688933740454,-0.0358474561770527,-0.0301446962858139,-0.243205183808506,0.609851166856767,1.26009138945123,-0.163011753615073,-0.190492237866403,0.624383014418808,1.19222414745288,-0.0990443309091285,-0.174626358975408,0.677401540137541,1.28936835309925,-0.102181761858443,-0.158491788653035,0.700174897005795,1.25006401398182,-0.0199346192459583
"b_Sem_2_ruta3",2.81364686783895,1.26689221001524,2.81444892583003,-0.0260702461237399,-0.071424293023758,0.091166512302562,0.0822110252633514,0.0795153478016262,0.0885920556210677,0.0999721077932166,0.509979161529534,-0.0916367863652709,-0.0671579741872522,-0.481525357983055,1.16617111390071,2.48610283975245,-0.343772614368807,-0.353979359246485,1.25691065715993,2.37675186684331,-0.199193230363629,-0.340745254989677,1.28936835290426,2.71681141309943,-0.209868626690348,-0.308239841191447,1.3753470720513,2.5060289709986,-0.0318273793446536
