"asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongAB_ruta1","b_CongCD_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-390.935009835809
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-390.935009835809
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-390.935009835809
0.00399999998990097,-0.0120000000060827,0.0247999999919557,0.112401923997822,-0.00713946406904143,0.00136000000566128,7.99999907030724e-05,-0.00135999998747138,-0.00656000000162749,-0.000799999997980194,-0.00608000000283937,0.0142400000004272,0.00487999999677413,0.00184000000444939,-0.000959999997576233,-0.00135999998747138,0.0010400000064692,0.00167999998666346,-0.00367999999070889,-0.00319999999192078,0.00855999998748303,-0.000400000008085044,-0.0028799999927287,-0.00567999999475433,0.00751999999920372,0.000560000007681083,-0.00255999999353662,-0.00328000000081374,0.00471999999717809,-376.920238172658
0.202147303045944,-0.299840392583016,0.598237583557273,0.140851550354662,-0.540794357893421,0.0450768651627872,0.0321082342199305,-0.0377774904543016,-0.16859928782614,-0.0234060900486761,-0.153049716016548,0.383864139332921,0.115498199883147,0.0604335803343052,-0.0259701903194027,-0.0449392373068658,0.0290308475170541,0.0741354998721949,-0.0965458232504137,-0.0998193363748439,0.205949214682838,0.0251092480746794,-0.0733522189697264,-0.181761331167329,0.183059734192595,0.0277016673567678,-0.0690132084989394,-0.110489348193311,0.11248137060039,-337.80159760222
0.487896111239077,-0.369891021431904,0.699320123197114,0.130195993580492,-0.404125358115357,0.0961132002171817,0.098329444194709,-0.0573992214850496,-0.241688705123228,-0.0387541952491401,-0.254823093605569,0.448851304325074,0.129077717964345,0.136968401882695,-0.0401377543310925,-0.0704462540487457,0.0199098439470695,0.164213813536164,-0.112365120124757,-0.148524955609614,0.226616629617407,0.0832768696977584,-0.0544255195422131,-0.284511344716474,0.170567415710049,0.0690817740057634,-0.0971782156636659,-0.183719157482417,0.175876049952436,-322.860698858699
0.77316224892435,-0.0602559749041221,0.7870303617803,0.151289164863345,-0.511081962093864,0.226174277074451,-0.153546335727064,-0.104769588754287,-0.279655093672914,-0.0915285199526698,-0.364324995239484,0.413805947897788,0.159070962943509,0.337306080224929,-0.0660442775084538,-0.146182322532014,-0.0594439461774636,0.207932046653931,0.0247707301758776,-0.238048545363273,0.167117601224958,-0.0318726834642283,0.251543217009137,-0.487648961254689,0.00632063368041716,0.16611752946529,-0.127993123435438,-0.350899045256151,0.394798444919654,-313.074660083814
0.807180173529748,0.0796305144298617,1.07520607147479,0.108588711767466,-0.262787053575782,0.288241083249128,-0.557688858610521,-0.186377843560594,-0.454246244786936,-0.149087711680285,-0.326919463831208,0.568757847323364,0.208397671934953,0.493166134100914,-0.104897772628652,-0.215877859122311,-0.0900431051329755,0.0632839835494333,0.160118436931691,-0.259365469247294,0.131933659213336,-0.209736922990408,0.481607905813368,-0.571779526149727,-0.112356253260746,0.279317644001851,-0.18102439944779,-0.468731469292396,0.613733801154543,-312.770818336558
0.954639170290976,-0.0107468112580749,1.11823590665524,0.107848934414982,-0.263831940731373,0.308805668999896,-0.763472102167054,-0.280565058082193,-0.687116222816729,-0.196240552179995,-0.164024399683617,0.54836613639206,0.203367400048668,0.597138192476533,-0.140226077833467,-0.263402129601274,-0.124344637823935,-0.0298926355393907,0.238618064776954,-0.224099474159091,-0.0130306339276762,-0.272492718926435,0.528552494324396,-0.524009773706691,-0.237855760084796,0.388326050448227,-0.233933492764007,-0.491738828775026,0.721058602213729,-309.028692962036
1.25848552535436,0.222098519372529,1.37519168868392,0.115969520050869,-0.278591297797642,-0.0232882982906162,-0.549496471337817,-0.620808687998666,-0.99371848676504,-0.382226212986036,0.0950894376196092,0.661847900023392,0.166655265908244,0.420387182298939,-0.184245808231398,-0.449241863597798,-0.150941972373624,-0.195173866130966,0.669004085920099,-0.255764004462134,-0.325383588497091,-0.211601184557667,0.707848604516012,-0.468703341160544,-0.454659956064473,0.587838386061937,-0.155980566633949,-0.560062756727916,0.593150444945528,-304.034326282192
